title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Professional V,020035,495912,10825,Professional Learning Office,1.0,78700.0,78700.0,26206.0
Professional V,020035,483743,10895,Social and Emotional Learning,1.0,89300.0,89300.0,29134.0
Professional V,020035,522872,11010,Talent Office,1.0,95000.0,95000.0,30346.0
Professional V,020035,522873,11010,Talent Office,1.0,95000.0,95000.0,30346.0
Professional V,010035,456751,11371,Student Support and Engagement,1.0,105000.0,105000.0,33536.0
Professional V,010035,242183,11610,Diverse Learner Supports & Services,1.0,94000.0,94000.0,29828.0
Professional V,010035,257810,11610,Diverse Learner Supports & Services,1.0,97000.0,97000.0,30455.0
Professional V,010035,298676,11610,Diverse Learner Supports & Services,1.0,81061.0,81061.0,27121.0
Professional V,020035,251256,12510,Information & Technology Services,1.0,71900.0,71900.0,25438.0
Professional V,020035,252737,12510,Information & Technology Services,1.0,82400.0,82400.0,27669.0
Professional V,020035,294948,12510,Information & Technology Services,1.0,87500.0,87500.0,28752.0
Professional V,020035,294951,12510,Information & Technology Services,1.0,104935.0,104935.0,32456.0
Professional V,020035,294969,12510,Information & Technology Services,1.0,86680.0,86680.0,28578.0
Professional V,020035,294984,12510,Information & Technology Services,1.0,99000.0,99000.0,31196.0
Professional V,020035,295002,12510,Information & Technology Services,1.0,119416.5,119416.5,35533.0
Professional V,020035,295208,12510,Information & Technology Services,1.0,90000.0,90000.0,29284.0
Professional V,020035,295720,12510,Information & Technology Services,1.0,102565.48,102565.48,31953.0
Professional V,020035,303917,12510,Information & Technology Services,1.0,91000.0,91000.0,29496.0
Professional V,020035,464185,12510,Information & Technology Services,1.0,100000.0,100000.0,31408.0
Professional V,020035,379398,16050,Accountability,1.0,99299.22,99299.22,31259.0
Professional V,020035,510930,22411,Edmund Burke Elementary School,1.0,80000.0,80000.0,26471.0
Professional V,020035,519806,53011,Chicago Vocational Career Academy,1.0,97000.0,97000.0,30770.0
