title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Program Manager - Esp,500332,455811,11210,Assessment,1.0,80000.0,80000.0,27159.0
Program Manager - Esp,500332,511745,11371,Student Support and Engagement,1.0,78700.0,78700.0,26883.0
Program Manager - Esp,500332,243649,11385,Early Childhood Development - City Wide,1.0,87000.0,87000.0,28647.0
Program Manager - Esp,500332,424546,12450,Payroll Services,1.0,91402.36,91402.36,29581.0
Program Manager - Esp,500332,294405,12510,Information & Technology Services,1.0,116843.0,116843.0,34986.0
Program Manager - Esp,500332,294437,12510,Information & Technology Services,1.0,102090.17,102090.17,31852.0
Program Manager - Esp,500332,489468,12510,Information & Technology Services,1.0,95000.0,95000.0,30346.0
Program Manager - Esp,500332,512541,12610,Budget & Management Office,1.0,75000.0,75000.0,26097.0
Program Manager - Esp,500332,507718,12620,Grant Funded Programs Office,1.0,82635.0,82635.0,27008.0
Program Manager - Esp,500332,511017,13740,Office of Strategic School Support Services,1.0,100000.0,100000.0,30548.0
Program Manager - Esp,500332,522583,13740,Office of Strategic School Support Services,1.0,104500.0,104500.0,31465.0
Program Manager - Esp,500332,379388,16050,Accountability,1.0,102146.36,102146.36,31864.0
