title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Program Option Teacher,000054,117237,22031,Louis J Agassiz School,1.0,76248.89,76248.89,27136.0
Program Option Teacher,000054,136204,22031,Louis J Agassiz School,1.0,93689.87,93689.87,31018.0
Program Option Teacher,000054,141573,22031,Louis J Agassiz School,1.0,88715.63,88715.63,29911.0
Program Option Teacher,000054,454246,22031,Louis J Agassiz School,0.5,80665.47,40332.74,14060.0
Program Option Teacher,000054,454247,22031,Louis J Agassiz School,0.5,80665.47,40332.74,14060.0
Program Option Teacher,000054,125855,22041,Louisa May Alcott School,0.5,77888.33,38944.17,13751.0
Program Option Teacher,000054,267340,22131,Alice L Barnard Computer Math & Science Center,0.5,57959.8,28979.9,11533.0
Program Option Teacher,000054,122211,22201,Jean Baptiste Beaubien School,1.0,83452.57,83452.57,28740.0
Program Option Teacher,000054,140098,22201,Jean Baptiste Beaubien School,1.0,92921.54,92921.54,30847.0
Program Option Teacher,000054,143328,22201,Jean Baptiste Beaubien School,1.0,76248.89,76248.89,27136.0
Program Option Teacher,000054,143361,22201,Jean Baptiste Beaubien School,1.0,69710.38,69710.38,25681.0
Program Option Teacher,000054,143382,22201,Jean Baptiste Beaubien School,1.0,57653.52,57653.52,22997.0
Program Option Teacher,000054,465042,22201,Jean Baptiste Beaubien School,1.0,93689.86,93689.86,31019.0
Program Option Teacher,000054,465043,22201,Jean Baptiste Beaubien School,1.0,82717.83,82717.83,28576.0
Program Option Teacher,000054,465049,22201,Jean Baptiste Beaubien School,1.0,90596.96,90596.96,30330.0
Program Option Teacher,000054,126272,22231,Alexander Graham Bell School,1.0,91114.8,91114.8,30445.0
Program Option Teacher,000054,126289,22231,Alexander Graham Bell School,1.0,86961.45,86961.45,29521.0
Program Option Teacher,000054,132633,22231,Alexander Graham Bell School,1.0,94727.21,94727.21,31249.0
Program Option Teacher,000054,112080,22311,Brentano Math & Science Academy,1.0,51587.54,51587.54,21646.0
Program Option Teacher,000054,131921,22411,Edmund Burke Elementary School,1.0,86961.55,86961.55,29521.0
Program Option Teacher,000054,116498,22511,Caldwell Academy Of Mathematics Science & Technology,1.0,50652.96,50652.96,21438.0
Program Option Teacher,000054,432704,22651,George F Cassell School,1.0,90596.95,90596.95,30330.0
Program Option Teacher,000054,423748,22661,Horace Greeley School,1.0,92402.62,92402.62,30732.0
Program Option Teacher,000054,450491,22711,STEM Magnet Academy,1.0,85187.11,85187.11,29126.0
Program Option Teacher,000054,126575,22751,Dewitt Clinton School,1.0,83452.57,83452.57,28740.0
Program Option Teacher,000054,116519,22761,Henry R Clissold School,1.0,93689.87,93689.87,31018.0
Program Option Teacher,000054,498063,22951,Dewey Academy Of Multicultural Studies,1.0,50652.96,50652.96,20760.0
Program Option Teacher,000054,116297,22971,Arthur Dixon School,1.0,84658.32,84658.32,29008.0
Program Option Teacher,000054,116376,22971,Arthur Dixon School,1.0,75403.86,75403.86,26948.0
Program Option Teacher,000054,116718,22971,Arthur Dixon School,1.0,83452.57,83452.57,28740.0
Program Option Teacher,000054,116932,22971,Arthur Dixon School,1.0,79641.97,79641.97,27891.0
Program Option Teacher,000054,340647,23351,Jesse Owens Elementary Community Academy,1.0,79944.45,79944.45,27959.0
Program Option Teacher,000054,133369,23431,Nathanael Greene School,1.0,88271.79,88271.79,29812.0
Program Option Teacher,000054,135254,23501,Alexander Hamilton School,1.0,68847.0,68847.0,25488.0
Program Option Teacher,000054,118163,23561,Bret Harte Elementary School,1.0,88903.15,88903.15,29953.0
Program Option Teacher,000054,139220,23621,Stephen K Hayt School,1.0,88715.13,88715.13,29911.0
Program Option Teacher,000054,126108,23651,Robert Healy School,0.5,86984.55,43492.28,14763.0
Program Option Teacher,000054,126921,23651,Robert Healy School,1.0,92402.63,92402.63,30732.0
Program Option Teacher,000054,132966,23651,Robert Healy School,1.0,79757.01,79757.01,27917.0
Program Option Teacher,000054,137204,23651,Robert Healy School,0.5,81677.32,40838.66,14172.0
Program Option Teacher,000054,123117,23751,South Loop School,1.0,85394.17,85394.17,29172.0
Program Option Teacher,000054,123162,23751,South Loop School,1.0,94951.85,94951.85,31299.0
Program Option Teacher,000054,137008,23751,South Loop School,1.0,83432.53,83432.53,28735.0
Program Option Teacher,000054,432477,23951,Edward Jenner Academy Of The Arts,1.0,54161.41,54161.41,22219.0
Program Option Teacher,000054,115769,24021,Joyce Kilmer School,1.0,57451.14,57451.14,22952.0
Program Option Teacher,000054,115794,24021,Joyce Kilmer School,1.0,79757.11,79757.11,27917.0
Program Option Teacher,000054,113521,24191,Abraham Lincoln Elementary School,1.0,88271.78,88271.78,29812.0
Program Option Teacher,000054,131565,24191,Abraham Lincoln Elementary School,1.0,92402.63,92402.63,30732.0
Program Option Teacher,000054,131604,24191,Abraham Lincoln Elementary School,1.0,91403.33,91403.33,30509.0
Program Option Teacher,000054,134240,24191,Abraham Lincoln Elementary School,1.0,81677.32,81677.32,28344.0
Program Option Teacher,000054,134331,24191,Abraham Lincoln Elementary School,1.0,90052.22,90052.22,30209.0
Program Option Teacher,000054,139444,24191,Abraham Lincoln Elementary School,1.0,88790.22,88790.22,29928.0
Program Option Teacher,000054,145857,24191,Abraham Lincoln Elementary School,1.0,89533.78,89533.78,30093.0
Program Option Teacher,000054,135669,24331,Horace Mann School,1.0,91858.95,91858.95,30611.0
Program Option Teacher,000054,146726,24331,Horace Mann School,1.0,90077.46,90077.46,30214.0
Program Option Teacher,000054,125887,24591,Mount Greenwood Elementary School,1.0,80964.13,80964.13,28186.0
Program Option Teacher,000054,122090,24731,William B Ogden School,1.0,91339.45,91339.45,30495.0
Program Option Teacher,000054,134148,24731,William B Ogden School,1.0,84658.32,84658.32,29008.0
Program Option Teacher,000054,144840,24731,William B Ogden School,1.0,61161.97,61161.97,23778.0
Program Option Teacher,000054,138314,24761,William J Onahan School,1.0,65338.61,65338.61,24707.0
Program Option Teacher,000054,115920,25301,William H Seward Communication Arts Academy,0.5,90596.96,45298.48,14558.0
Program Option Teacher,000054,484219,25301,William H Seward Communication Arts Academy,1.0,56236.21,56236.21,22682.0
Program Option Teacher,000054,136188,25471,Adlai E Stevenson School,1.0,91858.96,91858.96,30611.0
Program Option Teacher,000054,136282,25471,Adlai E Stevenson School,1.0,73946.38,73946.38,26623.0
Program Option Teacher,000054,116501,25541,William K Sullivan Specialty School,1.0,76248.89,76248.89,27136.0
Program Option Teacher,000054,142147,25541,William K Sullivan Specialty School,1.0,88271.78,88271.78,29812.0
Program Option Teacher,000054,143248,25541,William K Sullivan Specialty School,1.0,72625.06,72625.06,26329.0
Program Option Teacher,000054,141730,25561,Elizabeth H Sutherland School,1.0,61161.98,61161.98,23778.0
Program Option Teacher,000054,139900,25771,George Washington School,1.0,86141.29,86141.29,29338.0
Program Option Teacher,000054,119009,25871,A N Pritzker School,1.0,90596.96,90596.96,30330.0
Program Option Teacher,000054,134824,25871,A N Pritzker School,1.0,72625.01,72625.01,26329.0
Program Option Teacher,000054,126581,25911,Richard Yates Elementary School,1.0,59151.87,59151.87,23330.0
Program Option Teacher,000054,137178,25931,Ludwig Von Beethoven School,1.0,93689.86,93689.86,31018.0
Program Option Teacher,000054,146108,26351,Genevieve Melody School,1.0,82718.0,82718.0,28576.0
Program Option Teacher,000054,146112,26351,Genevieve Melody School,1.0,83452.75,83452.75,28740.0
Program Option Teacher,000054,116443,26421,Mary E Mcdowell Elementary School,1.0,50652.96,50652.96,21438.0
Program Option Teacher,000054,432506,26591,Medgar Evers School,1.0,54161.41,54161.41,22219.0
Program Option Teacher,000054,140607,29011,Thomas A Edison Regional Gifted Center,1.0,83371.08,83371.08,28721.0
Program Option Teacher,000054,385823,29011,Thomas A Edison Regional Gifted Center,1.0,52715.84,52715.84,21898.0
Program Option Teacher,000054,123323,29021,Burnside Scholastic Academy,1.0,79757.09,79757.09,27917.0
Program Option Teacher,000054,124692,29021,Burnside Scholastic Academy,1.0,94209.35,94209.35,31134.0
Program Option Teacher,000054,125448,29021,Burnside Scholastic Academy,1.0,88246.55,88246.55,29807.0
Program Option Teacher,000054,125490,29021,Burnside Scholastic Academy,1.0,82632.41,82632.41,28557.0
Program Option Teacher,000054,125492,29021,Burnside Scholastic Academy,1.0,62916.2,62916.2,24168.0
Program Option Teacher,000054,125731,29021,Burnside Scholastic Academy,1.0,50652.96,50652.96,21438.0
Program Option Teacher,000054,125997,29021,Burnside Scholastic Academy,1.0,93689.86,93689.86,31018.0
Program Option Teacher,000054,126098,29021,Burnside Scholastic Academy,1.0,86984.54,86984.54,29526.0
Program Option Teacher,000054,128050,29021,Burnside Scholastic Academy,1.0,93689.86,93689.86,31018.0
Program Option Teacher,000054,130091,29021,Burnside Scholastic Academy,1.0,85394.15,85394.15,29172.0
Program Option Teacher,000054,140592,29021,Burnside Scholastic Academy,1.0,86961.76,86961.76,29521.0
Program Option Teacher,000054,373646,29021,Burnside Scholastic Academy,1.0,88267.09,88267.09,29811.0
Program Option Teacher,000054,121521,29031,Stephen Decatur Classical School,1.0,72625.06,72625.06,26329.0
Program Option Teacher,000054,123868,29031,Stephen Decatur Classical School,1.0,77156.7,77156.7,27338.0
Program Option Teacher,000054,134947,29031,Stephen Decatur Classical School,1.0,94951.85,94951.85,31299.0
Program Option Teacher,000054,135018,29031,Stephen Decatur Classical School,1.0,79757.01,79757.01,27917.0
Program Option Teacher,000054,143490,29031,Stephen Decatur Classical School,1.0,86141.29,86141.29,29338.0
Program Option Teacher,000054,145285,29031,Stephen Decatur Classical School,1.0,50652.96,50652.96,21438.0
Program Option Teacher,000054,145383,29031,Stephen Decatur Classical School,1.0,79944.45,79944.45,27959.0
Program Option Teacher,000054,112380,29041,Turner-Drew Language Academy,1.0,77454.48,77454.48,27404.0
Program Option Teacher,000054,120622,29041,Turner-Drew Language Academy,1.0,90077.45,90077.45,30214.0
Program Option Teacher,000054,129009,29041,Turner-Drew Language Academy,1.0,91858.96,91858.96,30611.0
Program Option Teacher,000054,142149,29041,Turner-Drew Language Academy,1.0,83371.08,83371.08,28721.0
Program Option Teacher,000054,142220,29041,Turner-Drew Language Academy,1.0,83371.08,83371.08,28721.0
Program Option Teacher,000054,331548,29041,Turner-Drew Language Academy,0.5,83371.26,41685.63,14361.0
Program Option Teacher,000054,432148,29041,Turner-Drew Language Academy,0.5,83371.26,41685.63,14361.0
Program Option Teacher,000054,432150,29041,Turner-Drew Language Academy,1.0,86961.45,86961.45,29521.0
Program Option Teacher,000054,135430,29051,Leif Ericson Scholastic Academy,1.0,82717.46,82717.46,28576.0
Program Option Teacher,000054,135542,29051,Leif Ericson Scholastic Academy,1.0,65856.63,65856.63,24823.0
Program Option Teacher,000054,136074,29051,Leif Ericson Scholastic Academy,1.0,85394.53,85394.53,29172.0
Program Option Teacher,000054,124676,29071,Gerald Delgado Kanoon Magnet School,1.0,89533.78,89533.78,30093.0
Program Option Teacher,000054,125755,29071,Gerald Delgado Kanoon Magnet School,1.0,91884.19,91884.19,30616.0
Program Option Teacher,000054,127185,29071,Gerald Delgado Kanoon Magnet School,1.0,54161.41,54161.41,22219.0
Program Option Teacher,000054,133050,29081,Franklin Fine Arts Center,1.0,88271.79,88271.79,29812.0
Program Option Teacher,000054,133228,29081,Franklin Fine Arts Center,1.0,88903.15,88903.15,29953.0
Program Option Teacher,000054,432697,29081,Franklin Fine Arts Center,1.0,85394.53,85394.53,29172.0
Program Option Teacher,000054,120372,29091,Matthew Gallistel Language Academy,1.0,93664.63,93664.63,31013.0
Program Option Teacher,000054,129501,29091,Matthew Gallistel Language Academy,1.0,56236.19,56236.19,22681.0
Program Option Teacher,000054,142899,29091,Matthew Gallistel Language Academy,1.0,92402.63,92402.63,30732.0
Program Option Teacher,000054,143136,29091,Matthew Gallistel Language Academy,1.0,52727.75,52727.75,21900.0
Program Option Teacher,000054,432105,29091,Matthew Gallistel Language Academy,1.0,88271.78,88271.78,29812.0
Program Option Teacher,000054,432175,29091,Matthew Gallistel Language Academy,1.0,79757.01,79757.01,27917.0
Program Option Teacher,000054,504238,29091,Matthew Gallistel Language Academy,1.0,65856.63,65856.63,23940.0
Program Option Teacher,000054,120355,29121,Frank W Gunsaulus Scholastic Academy School,1.0,89533.78,89533.78,30093.0
Program Option Teacher,000054,130778,29121,Frank W Gunsaulus Scholastic Academy School,1.0,61830.76,61830.76,23927.0
Program Option Teacher,000054,502980,29121,Frank W Gunsaulus Scholastic Academy School,1.0,72625.06,72625.06,26329.0
Program Option Teacher,000054,120421,29131,Hawthorne Scholastic Academy,1.0,91884.2,91884.2,30616.0
Program Option Teacher,000054,120590,29131,Hawthorne Scholastic Academy,0.5,61161.47,30580.74,11889.0
Program Option Teacher,000054,126905,29131,Hawthorne Scholastic Academy,0.5,86984.54,43492.27,14763.0
Program Option Teacher,000054,128115,29131,Hawthorne Scholastic Academy,1.0,61161.97,61161.97,23778.0
Program Option Teacher,000054,131115,29131,Hawthorne Scholastic Academy,1.0,93146.18,93146.18,30897.0
Program Option Teacher,000054,133585,29131,Hawthorne Scholastic Academy,1.0,91884.2,91884.2,30616.0
Program Option Teacher,000054,133907,29131,Hawthorne Scholastic Academy,1.0,86984.54,86984.54,29526.0
Program Option Teacher,000054,139687,29131,Hawthorne Scholastic Academy,1.0,75403.53,75403.53,26948.0
Program Option Teacher,000054,142568,29131,Hawthorne Scholastic Academy,1.0,89533.78,89533.78,30093.0
Program Option Teacher,000054,142958,29131,Hawthorne Scholastic Academy,1.0,79757.01,79757.01,27917.0
Program Option Teacher,000054,421851,29131,Hawthorne Scholastic Academy,1.0,90077.45,90077.45,30214.0
Program Option Teacher,000054,116594,29141,Galileo Scholastic Academy Of Math & Science,0.5,92402.63,46201.32,15366.0
Program Option Teacher,000054,125476,29141,Galileo Scholastic Academy Of Math & Science,1.0,88271.79,88271.79,29812.0
Program Option Teacher,000054,125913,29141,Galileo Scholastic Academy Of Math & Science,1.0,61161.98,61161.98,23778.0
Program Option Teacher,000054,136134,29141,Galileo Scholastic Academy Of Math & Science,0.5,92402.63,46201.32,15366.0
Program Option Teacher,000054,138775,29141,Galileo Scholastic Academy Of Math & Science,1.0,52727.73,52727.73,21900.0
Program Option Teacher,000054,141861,29141,Galileo Scholastic Academy Of Math & Science,1.0,85019.31,85019.31,29088.0
