title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Project Manager - Pro IV,500936,461931,10610,School Safety and Security Office,1.0,61800.0,61800.0,23292.0
Project Manager - Pro IV,500936,457073,10825,Professional Learning Office,1.0,63800.0,63800.0,23717.0
Project Manager - Pro IV,500936,456408,10850,Counseling and Postsecondary Advising,1.0,74570.0,74570.0,26005.0
Project Manager - Pro IV,500936,494800,10855,Counseling and Postsecondary Advising - City Wide,1.0,63800.0,63800.0,23169.0
Project Manager - Pro IV,500936,471699,11010,Talent Office,1.0,75000.0,75000.0,26097.0
Project Manager - Pro IV,500936,504405,13725,Early College and Career,1.0,75000.0,75000.0,26097.0
Project Manager - Pro IV,500936,504466,13725,Early College and Career,1.0,85000.0,85000.0,28221.0
Project Manager - Pro IV,500936,505186,41051,Michelle Clark Academic Prep Magnet High School,1.0,83000.0,83000.0,27796.0
Project Manager - Pro IV,500936,520384,51021,Harlan Community Academy High School,1.0,70000.0,70000.0,25035.0
Project Manager - Pro IV,500936,514772,53021,Dunbar Vocational Career Academy,1.0,63800.0,63800.0,23717.0
Project Manager - Pro IV,500936,510914,53121,Edward Tilden Career Commmunity Academy,1.0,75000.0,75000.0,25452.0
