title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Project Manager,500338,483133,05261,Department of JROTC,1.0,64240.0,64240.0,23811.0
Project Manager,500338,461925,10610,School Safety and Security Office,1.0,62000.0,62000.0,23335.0
Project Manager,500338,470691,10890,Arts,1.0,52000.0,52000.0,21210.0
Project Manager,000360,516181,10898,Social and Emotional Learning - City Wide,1.0,78700.0,78700.0,26829.0
Project Manager,501781,435332,11201,Access and Enrollment,1.0,66990.0,66990.0,24395.0
Project Manager,501781,488943,11201,Access and Enrollment,1.0,63800.0,63800.0,23717.0
Project Manager,000361,522515,11510,Language and Cultural Education,1.0,112000.0,112000.0,35094.0
Project Manager,501781,507806,12510,Information & Technology Services,1.0,74000.0,74000.0,25884.0
Project Manager,500338,495762,13725,Early College and Career,1.0,66000.0,66000.0,23617.0
Project Manager,501781,436030,14050,Office of Student Health & Wellness,1.0,65714.0,65714.0,24124.0
Project Manager,501781,460585,14050,Office of Student Health & Wellness,1.0,70000.0,70000.0,25035.0
Project Manager,501781,516986,14050,Office of Student Health & Wellness,1.0,69850.0,69850.0,25003.0
Project Manager,501781,253302,15010,School Support Center,1.0,86520.0,86520.0,28544.0
Project Manager,500338,474910,16050,Accountability,1.0,74200.0,74200.0,25927.0
Project Manager,000360,522667,41051,Michelle Clark Academic Prep Magnet High School,1.0,77044.0,77044.0,25868.0
Project Manager,000360,515459,46141,Gage Park High School,1.0,100000.0,100000.0,31408.0
Project Manager,000360,522668,46391,George Henry Corliss High School,1.0,109168.15,109168.15,32417.0
Project Manager,000360,522665,46611,Sarah Goode High School,1.0,90000.0,90000.0,28510.0
Project Manager,000360,520480,53011,Chicago Vocational Career Academy,1.0,94000.0,94000.0,29325.0
Project Manager,000360,522666,53011,Chicago Vocational Career Academy,1.0,94850.0,94850.0,29498.0
Project Manager,000360,493618,55191,Bronzeville Scholastic Institute,1.0,100000.0,100000.0,30548.0
