title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Regular Teacher,000049,519634,05281,Office of Education Options,1.0,69116.6,69116.6,24622.0
Regular Teacher,000049,519636,05281,Office of Education Options,1.0,77453.91,77453.91,26366.0
Regular Teacher,000049,519637,05281,Office of Education Options,1.0,93689.86,93689.86,29763.0
Regular Teacher,000049,519638,05281,Office of Education Options,1.0,76134.15,76134.15,26090.0
Regular Teacher,000049,519724,05281,Office of Education Options,1.0,80665.07,80665.07,27038.0
Regular Teacher,000049,480665,10850,Counseling and Postsecondary Advising,1.0,93614.35,93614.35,31002.0
Regular Teacher,000049,480271,10875,Citywide Student Support and Engagement,1.0,69116.63,69116.63,25548.0
Regular Teacher,000049,480272,10875,Citywide Student Support and Engagement,1.0,56236.19,56236.19,22681.0
Regular Teacher,000049,515464,10875,Citywide Student Support and Engagement,1.0,90596.96,90596.96,30330.0
Regular Teacher,000049,511595,11070,Talent Office - City Wide,1.0,88271.78,88271.78,29812.0
Regular Teacher,000049,416740,11116,AUSL Program Support,1.0,91404.0,91404.0,30510.0
Regular Teacher,000049,416785,11116,AUSL Program Support,1.0,91403.33,91403.33,30509.0
Regular Teacher,000049,468842,11116,AUSL Program Support,1.0,93689.86,93689.86,29763.0
Regular Teacher,000049,468848,11116,AUSL Program Support,1.0,85019.55,85019.55,27949.0
Regular Teacher,000049,468909,11116,AUSL Program Support,1.0,89533.78,89533.78,28893.0
Regular Teacher,000049,468950,11116,AUSL Program Support,1.0,79757.5,79757.5,26848.0
Regular Teacher,000049,468953,11116,AUSL Program Support,1.0,79208.91,79208.91,26734.0
Regular Teacher,000049,474402,11116,AUSL Program Support,1.0,90596.94,90596.94,29116.0
Regular Teacher,000049,475497,11116,AUSL Program Support,0.2,80964.66,16192.93,3388.0
Regular Teacher,000049,491212,11116,AUSL Program Support,1.0,57492.86,57492.86,22961.0
Regular Teacher,000049,491427,11116,AUSL Program Support,1.0,93664.61,93664.61,29758.0
Regular Teacher,000049,491428,11116,AUSL Program Support,0.2,95512.67,19102.53,3996.0
Regular Teacher,000049,491432,11116,AUSL Program Support,1.0,92402.63,92402.63,29494.0
Regular Teacher,000049,491433,11116,AUSL Program Support,0.2,94250.67,18850.13,3943.0
Regular Teacher,000049,493373,11116,AUSL Program Support,1.0,80964.66,80964.66,27101.0
Regular Teacher,000049,493812,11116,AUSL Program Support,1.0,75403.6,75403.6,25937.0
Regular Teacher,000049,493813,11116,AUSL Program Support,0.2,75403.6,15080.72,3155.0
Regular Teacher,000049,493858,11116,AUSL Program Support,0.2,93689.86,18737.97,3920.0
Regular Teacher,000049,493859,11116,AUSL Program Support,0.2,90596.95,18119.39,3791.0
Regular Teacher,000049,493861,11116,AUSL Program Support,0.2,89533.78,17906.76,3746.0
Regular Teacher,000049,494147,11116,AUSL Program Support,0.2,91404.0,18280.8,3824.0
Regular Teacher,000049,511258,11116,AUSL Program Support,0.2,52727.75,10545.55,2206.0
Regular Teacher,000049,511260,11116,AUSL Program Support,0.2,73946.38,14789.28,3094.0
Regular Teacher,000049,511261,11116,AUSL Program Support,0.2,57653.6,11530.72,2412.0
Regular Teacher,000049,511262,11116,AUSL Program Support,0.2,71987.66,14397.53,3012.0
Regular Teacher,000049,511263,11116,AUSL Program Support,0.2,66423.59,13284.72,2779.0
Regular Teacher,000049,511267,11116,AUSL Program Support,0.2,11530.7,2306.14,482.0
Regular Teacher,000049,511269,11116,AUSL Program Support,0.2,61161.98,12232.4,2559.0
Regular Teacher,000049,511270,11116,AUSL Program Support,0.2,79798.08,15959.62,3339.0
Regular Teacher,000049,511271,11116,AUSL Program Support,0.2,57493.18,11498.64,2406.0
Regular Teacher,000049,511272,11116,AUSL Program Support,0.2,56236.21,11247.24,2353.0
Regular Teacher,000049,511273,11116,AUSL Program Support,0.2,72873.56,14574.71,3049.0
Regular Teacher,000049,511274,11116,AUSL Program Support,0.2,11247.24,2249.45,471.0
Regular Teacher,000049,511295,11116,AUSL Program Support,0.2,53984.05,10796.81,2259.0
Regular Teacher,000049,511296,11116,AUSL Program Support,0.2,57653.52,11530.7,2412.0
Regular Teacher,000049,511297,11116,AUSL Program Support,0.2,56236.21,11247.24,2353.0
Regular Teacher,000049,511298,11116,AUSL Program Support,0.2,56236.21,11247.24,2353.0
Regular Teacher,000049,511299,11116,AUSL Program Support,0.2,56236.74,11247.35,2353.0
Regular Teacher,000049,511300,11116,AUSL Program Support,0.2,67091.91,13418.38,2807.0
Regular Teacher,000049,511301,11116,AUSL Program Support,0.2,56236.21,11247.24,2353.0
Regular Teacher,000049,511302,11116,AUSL Program Support,0.2,57654.18,11530.84,2412.0
Regular Teacher,000049,511303,11116,AUSL Program Support,0.2,57492.86,11498.57,2406.0
Regular Teacher,000049,511304,11116,AUSL Program Support,0.2,16335.51,3267.1,683.0
Regular Teacher,000049,511305,11116,AUSL Program Support,0.2,57492.86,11498.57,2406.0
Regular Teacher,000049,511306,11116,AUSL Program Support,0.2,57492.65,11498.53,2405.0
Regular Teacher,000049,511307,11116,AUSL Program Support,0.2,57653.6,11530.72,2412.0
Regular Teacher,000049,511308,11116,AUSL Program Support,0.2,71987.66,14397.53,3012.0
Regular Teacher,000049,511309,11116,AUSL Program Support,0.2,53984.24,10796.85,2259.0
Regular Teacher,000049,511310,11116,AUSL Program Support,0.2,72625.01,14525.0,3039.0
Regular Teacher,000049,511311,11116,AUSL Program Support,0.2,13171.42,2634.28,551.0
Regular Teacher,000049,511312,11116,AUSL Program Support,0.2,78910.63,15782.13,3302.0
Regular Teacher,000049,511313,11116,AUSL Program Support,0.2,52727.75,10545.55,2206.0
Regular Teacher,000049,511335,11116,AUSL Program Support,0.2,61161.47,12232.29,2559.0
Regular Teacher,000049,511336,11116,AUSL Program Support,0.2,64401.23,12880.25,2695.0
Regular Teacher,000049,511842,11116,AUSL Program Support,0.2,86984.55,17396.91,3639.0
Regular Teacher,000049,519872,11116,AUSL Program Support,0.2,85019.55,17003.91,3557.0
Regular Teacher,000049,519886,11116,AUSL Program Support,1.0,54161.41,54161.41,21494.0
Regular Teacher,000049,519961,11116,AUSL Program Support,0.2,88246.55,17649.31,3692.0
Regular Teacher,000049,519962,11116,AUSL Program Support,0.2,88246.54,17649.31,3692.0
Regular Teacher,000049,519963,11116,AUSL Program Support,0.2,52727.73,10545.55,2206.0
Regular Teacher,000049,520064,11116,AUSL Program Support,0.2,72625.06,14525.01,3039.0
Regular Teacher,000049,520065,11116,AUSL Program Support,0.2,85394.9,17078.98,3573.0
Regular Teacher,000049,520066,11116,AUSL Program Support,0.2,77454.05,15490.81,3241.0
Regular Teacher,000049,520067,11116,AUSL Program Support,0.2,65338.53,13067.71,2734.0
Regular Teacher,000049,520068,11116,AUSL Program Support,0.2,53984.2,10796.84,2259.0
Regular Teacher,000049,520069,11116,AUSL Program Support,0.2,61161.98,12232.4,2559.0
Regular Teacher,000049,520070,11116,AUSL Program Support,0.2,61498.89,12299.78,2573.0
Regular Teacher,000049,520071,11116,AUSL Program Support,0.2,57492.63,11498.53,2405.0
Regular Teacher,000049,520072,11116,AUSL Program Support,0.2,55644.38,11128.88,2328.0
Regular Teacher,000049,520073,11116,AUSL Program Support,0.2,51587.54,10317.51,2158.0
Regular Teacher,000049,520074,11116,AUSL Program Support,0.2,77454.05,15490.81,3241.0
Regular Teacher,000049,520075,11116,AUSL Program Support,0.2,75246.54,15049.31,3148.0
Regular Teacher,000049,520076,11116,AUSL Program Support,0.2,69365.57,13873.11,2902.0
Regular Teacher,000049,520077,11116,AUSL Program Support,0.2,72625.42,14525.08,3039.0
Regular Teacher,000049,520078,11116,AUSL Program Support,0.2,56236.74,11247.35,2353.0
Regular Teacher,000049,520079,11116,AUSL Program Support,0.2,56236.21,11247.24,2353.0
Regular Teacher,000049,520081,11116,AUSL Program Support,0.2,56236.21,11247.24,2353.0
