title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
School Assist Bilingual-Spnish,000474,256842,22481,John C Burroughs School,1.0,31166.76,31166.76,16784.0
School Assist Bilingual-Spnish,000474,409806,22481,John C Burroughs School,1.0,32651.99,32651.99,17100.0
School Assist Bilingual-Spnish,000474,151501,23921,Friedrich L Jahn School,1.0,32651.99,32651.99,17100.0
School Assist Bilingual-Spnish,000474,153311,24051,Lazaro Cardenas School,1.0,37132.06,37132.06,18052.0
School Assist Bilingual-Spnish,000474,164784,24051,Lazaro Cardenas School,1.0,37132.06,37132.06,18052.0
School Assist Bilingual-Spnish,000474,500128,24361,John L Marsh School,1.0,32651.99,32651.99,17100.0
School Assist Bilingual-Spnish,000474,150613,25151,Cesar E Chavez Multicultural Academic Center,1.0,36061.58,36061.58,17824.0
School Assist Bilingual-Spnish,000474,160635,25301,William H Seward Communication Arts Academy,1.0,38246.03,38246.03,18288.0
School Assist Bilingual-Spnish,000474,165454,25301,William H Seward Communication Arts Academy,1.0,38246.03,38246.03,18288.0
School Assist Bilingual-Spnish,000474,474789,25361,James Shields Elementary School,1.0,38246.03,38246.03,18288.0
School Assist Bilingual-Spnish,000474,268774,29091,Matthew Gallistel Language Academy,1.0,32651.99,32651.99,17100.0
School Assist Bilingual-Spnish,000474,166058,46201,John F Kennedy High School,1.0,38246.03,38246.03,18288.0
School Assist Bilingual-Spnish,000474,165863,53091,David G Farragut Career Academy High School,1.0,32651.99,32651.99,17100.0
