title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
School Assistant-Bilingual,000475,150833,22021,Jane Addams School,1.0,32651.99,32651.99,17100.0
School Assistant-Bilingual,000475,164530,22481,John C Burroughs School,1.0,37132.06,37132.06,18052.0
School Assistant-Bilingual,000475,344289,22831,Peter Cooper Dual Language Academy,1.0,37132.06,37132.06,18052.0
School Assistant-Bilingual,000475,148119,22901,Charles Gates Dawes School,1.0,38246.03,38246.03,18288.0
School Assistant-Bilingual,000475,387670,23151,Laughlin Falconer School,1.0,34302.7,34302.7,17451.0
School Assistant-Bilingual,000475,166205,23291,Frederick Funston School,1.0,32651.99,32651.99,17100.0
School Assistant-Bilingual,000475,165333,24471,James B Mcpherson Elementary School,1.0,32651.99,32651.99,17100.0
School Assistant-Bilingual,000475,154182,25451,John Spry Community School,1.0,37132.06,37132.06,18052.0
School Assistant-Bilingual,000475,152417,25661,Mark Twain School,1.0,32651.99,32651.99,17100.0
School Assistant-Bilingual,000475,327512,25841,Eli Whitney School,1.0,37132.06,37132.06,18052.0
School Assistant-Bilingual,000475,155298,29071,Gerald Delgado Kanoon Magnet School,1.0,32651.99,32651.99,17100.0
School Assistant-Bilingual,000475,250769,46201,John F Kennedy High School,1.0,32651.99,32651.99,17100.0
School Assistant-Bilingual,000475,222840,49021,Northside Learning Center,1.0,31166.76,31166.76,16784.0
