title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
School Bus Aide,002533,147647,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,147750,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,147936,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,147976,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,148173,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,148261,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,148310,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,148412,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,148420,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,148437,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,148712,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,148765,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,148811,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,148863,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,148957,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,149222,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,149451,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,149495,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,149498,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,149652,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,149827,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,150115,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,150124,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,150417,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,150483,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
School Bus Aide,002533,150514,11940,School Transportation - City Wide,1.0,15450.3,15450.3,13445.0
