title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
School Business Manager,000152,162662,22491,Milton Brunson Specialty Elementary School,0.5,82540.78,41270.39,13850.0
School Business Manager,000152,525105,22691,Marvin Camras Elementary School,1.0,58699.59,58699.59,22634.0
School Business Manager,000152,406370,23131,Esmond School,0.5,67908.06,33954.03,12295.0
School Business Manager,000152,513398,23251,Joseph Kellman Corporate Community School,1.0,61636.94,61636.94,23257.0
School Business Manager,000152,477667,24281,Mary Lyon School,1.0,82540.78,82540.78,27699.0
School Business Manager,000152,200410,24611,Wolfgang A Mozart School,1.0,82540.78,82540.78,27699.0
School Business Manager,000152,160873,24951,Marcus Moziah Garvey School,0.5,67908.06,33954.03,12296.0
School Business Manager,000152,303685,25441,Herbert Spencer Math & Science Academy,0.5,82540.78,41270.39,13850.0
School Business Manager,000152,147674,25791,Daniel Webster School,1.0,58699.59,58699.59,22634.0
School Business Manager,000152,515257,25991,Joseph Brennemann School,1.0,61636.94,61636.94,23258.0
School Business Manager,000152,525213,26771,Belmont-Cragin School,1.0,58699.59,58699.59,22634.0
School Business Manager,000152,525274,26791,Tarkington School of Excellence,1.0,64687.54,64687.54,23906.0
School Business Manager,000152,164307,29401,Walt Disney Magnet School,1.0,82540.78,82540.78,27699.0
School Business Manager,000152,473228,46031,Roald Amundsen High School,1.0,71298.48,71298.48,25310.0
School Business Manager,000152,493924,46061,Northside College Prep,1.0,82540.78,82540.78,27699.0
School Business Manager,000152,173436,46131,Edwin G Foreman High School,1.0,82540.78,82540.78,27699.0
School Business Manager,000152,226626,46181,Thomas Kelly High School,1.0,82540.78,82540.78,27699.0
School Business Manager,000152,455104,46211,Lake View High School,1.0,78586.37,78586.37,26859.0
School Business Manager,000152,266219,46241,Stephen T Mather High School,1.0,82540.78,82540.78,27699.0
School Business Manager,000152,525431,46261,Wendell Phillips Academy,1.0,64687.54,64687.54,23906.0
School Business Manager,000152,330504,46321,Lincoln Park High School,1.0,71298.48,71298.48,25310.0
School Business Manager,000152,234590,46371,KIng Selective Enrollment HS,1.0,67908.06,67908.06,24590.0
School Business Manager,000152,525000,46431,North Grand High School,1.0,58699.59,58699.59,22634.0
School Business Manager,000152,525015,46471,Al Raby High School,1.0,58699.59,58699.59,22634.0
School Business Manager,000152,237604,47021,William Jones College Prep High School,1.0,74858.21,74858.21,26067.0
School Business Manager,000152,353185,53071,George Westinghouse High School,1.0,78586.37,78586.37,26859.0
School Business Manager,000152,469701,53111,Manley Career Community Academy High School,1.0,61636.94,61636.94,23258.0
School Business Manager,000152,525310,55191,Bronzeville Scholastic Institute,1.0,67908.06,67908.06,24590.0
School Business Manager,000152,525302,70020,Walter Payton College Preparatory  HS,1.0,82540.78,82540.78,27699.0
