title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
School Clerk Assistant,000467,468806,20071,Columbia Explorers Academy,1.0,35071.51,35071.51,17614.0
School Clerk Assistant,000467,487334,22021,Jane Addams School,1.0,34701.23,34701.23,17535.0
School Clerk Assistant,000467,525225,22061,Philip D Armour School,1.0,40511.84,40511.84,18770.0
School Clerk Assistant,000467,502759,22151,Clara W Barton School,1.0,34701.23,34701.23,17535.0
School Clerk Assistant,000467,486866,22171,Newton Bateman Elementary School,1.0,31499.79,31499.79,16855.0
School Clerk Assistant,000467,466240,22211,Jacob Beidler School,1.0,34701.23,34701.23,17535.0
School Clerk Assistant,000467,516934,22251,South Shore Fine Arts Academy,1.0,31499.79,31499.79,16584.0
School Clerk Assistant,000467,525027,22261,James G Blaine School,1.0,33044.62,33044.62,17183.0
School Clerk Assistant,000467,489337,22291,Myra Bradwell School of Excellence,1.0,36775.14,36775.14,17976.0
School Clerk Assistant,000467,251489,22321,Norman Bridge School,1.0,36775.14,36775.14,17976.0
School Clerk Assistant,000467,484108,22331,Orville T Bright Elementary School,1.0,43866.7,43866.7,19482.0
School Clerk Assistant,000467,444751,22381,West Ridge Elementary School,1.0,40511.84,40511.84,18770.0
School Clerk Assistant,000467,525163,22391,Lyman A Budlong School,1.0,34701.23,34701.23,17535.0
School Clerk Assistant,000467,525174,22441,Irene C. Hernandez Middle School for the Advancement of the Sciences,1.0,31499.79,31499.79,16856.0
School Clerk Assistant,000467,478430,22461,Castellanos,1.0,34701.23,34701.23,17535.0
School Clerk Assistant,000467,492799,22501,Michael M Byrne School,1.0,45182.7,45182.7,19762.0
School Clerk Assistant,000467,496587,22511,Caldwell Academy Of Mathematics Science & Technology,1.0,33044.62,33044.62,17183.0
School Clerk Assistant,000467,487001,22521,Little Village Academy,1.0,35071.51,35071.51,17614.0
School Clerk Assistant,000467,525078,22591,Skinner North,1.0,31499.79,31499.79,16855.0
School Clerk Assistant,000467,498744,22611,William W Carter School,1.0,41591.21,41591.21,18999.0
School Clerk Assistant,000467,525271,22651,George F Cassell School,1.0,36775.14,36775.14,17976.0
School Clerk Assistant,000467,487251,22681,Eliza Chappell Elementary School,1.0,35071.51,35071.51,17614.0
School Clerk Assistant,000467,254236,22701,Salmon P Chase School,1.0,36775.14,36775.14,17976.0
School Clerk Assistant,000467,525180,22721,Frederic Chopin School,1.0,42601.42,42601.42,19214.0
School Clerk Assistant,000467,427272,22811,Jordan Community School,1.0,31499.79,31499.79,16855.0
School Clerk Assistant,000467,525019,22821,John C Coonley School,1.0,33044.62,33044.62,17183.0
School Clerk Assistant,000467,491337,22831,Peter Cooper Dual Language Academy,1.0,35071.51,35071.51,17614.0
School Clerk Assistant,000467,525127,22841,Anna R. Langford Community Academy,1.0,40511.84,40511.84,18770.0
School Clerk Assistant,000467,159662,22871,Everett Mckinley Dirksen School,1.0,38590.04,38590.04,18361.0
School Clerk Assistant,000467,525257,22881,Charles R Darwin School,1.0,33044.62,33044.62,17183.0
School Clerk Assistant,000467,266729,22901,Charles Gates Dawes School,1.0,33044.62,33044.62,17183.0
School Clerk Assistant,000467,427498,22931,Charles S Deneen School,1.0,38590.04,38590.04,18361.0
School Clerk Assistant,000467,520054,22971,Arthur Dixon School,1.0,31499.79,31499.79,16855.0
School Clerk Assistant,000467,327464,23041,John F Eberhart School,1.0,36775.14,36775.14,17976.0
School Clerk Assistant,000467,445237,23081,Richard Edwards School,1.0,31499.79,31499.79,16855.0
School Clerk Assistant,000467,488979,23081,Richard Edwards School,1.0,35071.51,35071.51,17614.0
School Clerk Assistant,000467,398290,23151,Laughlin Falconer School,1.0,45182.7,45182.7,19762.0
School Clerk Assistant,000467,263363,23341,J W Von Goethe School,1.0,38590.04,38590.04,18361.0
School Clerk Assistant,000467,504889,23351,Jesse Owens Elementary Community Academy,1.0,31499.79,31499.79,16855.0
School Clerk Assistant,000467,512335,23391,Alexander Graham School,1.0,45182.7,45182.7,19762.0
School Clerk Assistant,000467,157487,23411,Josefa Ortiz De Dominguez Elementary School New Gary,1.0,42601.42,42601.42,19214.0
School Clerk Assistant,000467,489166,23511,John H Hamline Elementary School,1.0,34701.23,34701.23,17535.0
School Clerk Assistant,000467,525240,23591,Helge A Haugan,1.0,31499.79,31499.79,16855.0
School Clerk Assistant,000467,525054,23651,Robert Healy School,1.0,31499.79,31499.79,16855.0
School Clerk Assistant,000467,434620,23681,James Hedges School Main,1.0,35071.51,35071.51,17614.0
School Clerk Assistant,000467,464342,23771,Theodore Herzl School,1.0,34701.23,34701.23,17535.0
School Clerk Assistant,000467,498799,23801,William G Hibbard School,1.0,39182.15,39182.15,18487.0
School Clerk Assistant,000467,493557,24171,Arthur A Libby School,1.0,33044.62,33044.62,17184.0
School Clerk Assistant,000467,463392,24221,Henry D Lloyd School,1.0,34701.23,34701.23,17535.0
School Clerk Assistant,000467,251302,24241,Joseph Lovett School,1.0,36775.14,36775.14,17976.0
School Clerk Assistant,000467,510928,24331,Horace Mann School,1.0,43866.7,43866.7,19105.0
