title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
School Clerk I Bilin Spanish,002501,207563,22061,Philip D Armour School,1.0,57938.2,57938.2,22472.0
School Clerk I Bilin Spanish,002501,235595,22141,John Barry Elementary School,1.0,61448.89,61448.89,23218.0
School Clerk I Bilin Spanish,002501,409765,22141,John Barry Elementary School,1.0,47567.4,47567.4,20269.0
School Clerk I Bilin Spanish,002501,159447,22171,Newton Bateman Elementary School,1.0,59659.12,59659.12,22838.0
School Clerk I Bilin Spanish,002501,163947,22171,Newton Bateman Elementary School,1.0,50019.73,50019.73,20790.0
School Clerk I Bilin Spanish,002501,149751,22201,Jean Baptiste Beaubien School,1.0,52529.67,52529.67,21323.0
School Clerk I Bilin Spanish,002501,462827,22221,Hiram H Belding School,1.0,42740.42,42740.42,19243.0
School Clerk I Bilin Spanish,002501,152344,22421,Augustus H Burley Elementary School,1.0,61448.89,61448.89,23218.0
School Clerk I Bilin Spanish,002501,329093,22441,Irene C. Hernandez Middle School for the Advancement of the Sciences,1.0,42740.42,42740.42,19243.0
School Clerk I Bilin Spanish,002501,406668,22441,Irene C. Hernandez Middle School for the Advancement of the Sciences,1.0,50019.73,50019.73,20790.0
School Clerk I Bilin Spanish,002501,156992,22461,Castellanos,1.0,52529.67,52529.67,21323.0
School Clerk I Bilin Spanish,002501,155668,22481,John C Burroughs School,1.0,59659.12,59659.12,22838.0
School Clerk I Bilin Spanish,002501,222485,22481,John C Burroughs School,1.0,57938.2,57938.2,22472.0
School Clerk I Bilin Spanish,002501,160164,22521,Little Village Academy,1.0,61448.89,61448.89,23218.0
School Clerk I Bilin Spanish,002501,240343,22531,Daniel R Cameron Elementary School,1.0,47567.4,47567.4,20269.0
School Clerk I Bilin Spanish,002501,153196,22601,Rachel Carson Elementary School,1.0,61448.89,61448.89,23218.0
School Clerk I Bilin Spanish,002501,235495,22601,Rachel Carson Elementary School,1.0,59659.12,59659.12,22838.0
School Clerk I Bilin Spanish,002501,411969,22691,Marvin Camras Elementary School,1.0,52529.67,52529.67,21323.0
School Clerk I Bilin Spanish,002501,159979,22731,Henry Clay Elementary School,1.0,55205.65,55205.65,21891.0
School Clerk I Bilin Spanish,002501,426431,22731,Henry Clay Elementary School,1.0,59659.12,59659.12,22838.0
School Clerk I Bilin Spanish,002501,486634,22731,Henry Clay Elementary School,1.0,52529.67,52529.67,21323.0
School Clerk I Bilin Spanish,002501,160398,22751,Dewitt Clinton School,1.0,59659.12,59659.12,22838.0
School Clerk I Bilin Spanish,002501,154936,22831,Peter Cooper Dual Language Academy,1.0,61448.89,61448.89,23218.0
School Clerk I Bilin Spanish,002501,151312,22851,Daniel J Corkery School,1.0,61448.89,61448.89,23218.0
School Clerk I Bilin Spanish,002501,160857,22861,Manuel Perez Jr Elementary School,1.0,47148.25,47148.25,20180.0
School Clerk I Bilin Spanish,002501,155850,22891,Nathan S Davis School & Annex,1.0,61448.89,61448.89,23218.0
School Clerk I Bilin Spanish,002501,510309,22941,William E Dever School,1.0,42740.42,42740.42,19243.0
School Clerk I Bilin Spanish,002501,251467,23081,Richard Edwards School,1.0,57938.2,57938.2,22472.0
School Clerk I Bilin Spanish,002501,152157,23141,Edward Everett Elementary School,1.0,44944.59,44944.59,19711.0
School Clerk I Bilin Spanish,002501,294249,23281,Robert Fulton School,1.0,50019.73,50019.73,20790.0
