title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
School Clerk I,000468,148160,20071,Columbia Explorers Academy,1.0,47567.4,47567.4,20269.0
School Clerk I,000468,493037,20071,Columbia Explorers Academy,1.0,44944.59,44944.59,19711.0
School Clerk I,000468,164606,22021,Jane Addams School,1.0,55205.65,55205.65,21891.0
School Clerk I,000468,265380,22021,Jane Addams School,1.0,47148.25,47148.25,20180.0
School Clerk I,000468,163936,22031,Louis J Agassiz School,1.0,42740.42,42740.42,19243.0
School Clerk I,000468,163937,22041,Louisa May Alcott School,1.0,61448.89,61448.89,23218.0
School Clerk I,000468,355111,22041,Louisa May Alcott School,1.0,55205.65,55205.65,21891.0
School Clerk I,000468,157649,22071,New Field School,1.0,52529.67,52529.67,21323.0
School Clerk I,000468,220612,22081,George Armstrong Elementary School,1.0,47567.4,47567.4,20269.0
School Clerk I,000468,464897,22091,Audubon Elementary School,1.0,42740.42,42740.42,19243.0
School Clerk I,000468,153605,22101,Avalon Park School,1.0,57938.2,57938.2,22472.0
School Clerk I,000468,476925,22131,Alice L Barnard Computer Math & Science Center,1.0,57938.2,57938.2,22472.0
School Clerk I,000468,164610,22151,Clara W Barton School,1.0,59659.12,59659.12,22838.0
School Clerk I,000468,164611,22161,Perkins Bass School,1.0,44944.59,44944.59,19711.0
School Clerk I,000468,488110,22161,Perkins Bass School,1.0,42740.42,42740.42,19243.0
School Clerk I,000468,164612,22181,Lillian R Nicholson Specialty School For Science & Mathem,1.0,50019.73,50019.73,20790.0
School Clerk I,000468,149975,22191,George Rogers Clark Elementary School,1.0,61448.89,61448.89,23218.0
School Clerk I,000468,163949,22201,Jean Baptiste Beaubien School,1.0,59659.12,59659.12,22838.0
School Clerk I,000468,163950,22211,Jacob Beidler School,1.0,47148.25,47148.25,20180.0
School Clerk I,000468,163951,22221,Hiram H Belding School,1.0,52529.67,52529.67,21323.0
School Clerk I,000468,155890,22231,Alexander Graham Bell School,1.0,55205.65,55205.65,21891.0
School Clerk I,000468,464039,22231,Alexander Graham Bell School,1.0,47148.25,47148.25,20180.0
School Clerk I,000468,164615,22241,Frank I Bennett School,1.0,59659.12,59659.12,22838.0
School Clerk I,000468,405938,22251,South Shore Fine Arts Academy,1.0,47567.4,47567.4,20269.0
School Clerk I,000468,304242,22261,James G Blaine School,1.0,61448.89,61448.89,23218.0
School Clerk I,000468,238997,22271,Daniel Boone School,1.0,59659.12,59659.12,22838.0
School Clerk I,000468,266104,22271,Daniel Boone School,1.0,59659.12,59659.12,22838.0
School Clerk I,000468,152218,22281,Scott Joplin School,1.0,52529.67,52529.67,21323.0
School Clerk I,000468,489120,22291,Myra Bradwell School of Excellence,1.0,52529.67,52529.67,21323.0
School Clerk I,000468,164621,22301,Alex Haley School,1.0,47567.4,47567.4,20269.0
School Clerk I,000468,163957,22311,Brentano Math & Science Academy,1.0,59659.12,59659.12,22838.0
School Clerk I,000468,163958,22321,Norman Bridge School,1.0,55205.65,55205.65,21891.0
School Clerk I,000468,386051,22321,Norman Bridge School,1.0,55205.65,55205.65,21891.0
School Clerk I,000468,164622,22331,Orville T Bright Elementary School,1.0,47148.25,47148.25,20180.0
School Clerk I,000468,404587,22341,Federico Garcia Lorca Elementary School,1.0,50019.73,50019.73,20790.0
School Clerk I,000468,427625,22341,Federico Garcia Lorca Elementary School,1.0,44944.59,44944.59,19711.0
School Clerk I,000468,164306,22351,William H Brown Elementary School,1.0,52529.67,52529.67,21323.0
School Clerk I,000468,164623,22361,Charles S Brownell School,1.0,59659.12,59659.12,22838.0
School Clerk I,000468,164820,22371,Bouchet Academy,1.0,61448.89,61448.89,23218.0
School Clerk I,000468,217483,22371,Bouchet Academy,1.0,44944.59,44944.59,19711.0
School Clerk I,000468,502005,22371,Bouchet Academy,1.0,57938.2,57938.2,22472.0
School Clerk I,000468,406601,22381,West Ridge Elementary School,1.0,61448.89,61448.89,23218.0
