title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
School Counselor,990101,476503,10898,Social and Emotional Learning - City Wide,1.0,91858.96,91858.96,29380.0
School Counselor,990101,479923,12670,Education General - City Wide,1.0,56236.21,56236.21,22681.0
School Counselor,990101,519898,12670,Education General - City Wide,1.0,83452.23,83452.23,28739.0
School Counselor,990101,297233,20071,Columbia Explorers Academy,1.0,54161.41,54161.41,22219.0
School Counselor,990101,485199,22021,Jane Addams School,1.0,54161.41,54161.41,22219.0
School Counselor,990101,238093,22031,Louis J Agassiz School,1.0,72873.84,72873.84,26385.0
School Counselor,990101,122780,22041,Louisa May Alcott School,0.5,91884.19,45942.1,15308.0
School Counselor,990101,130914,22041,Louisa May Alcott School,0.5,91884.19,45942.1,15308.0
School Counselor,990101,352578,22041,Louisa May Alcott School,1.0,86984.55,86984.55,29526.0
School Counselor,990101,115385,22061,Philip D Armour School,1.0,75403.53,75403.53,26948.0
School Counselor,990101,225741,22071,New Field School,1.0,85394.53,85394.53,29172.0
School Counselor,990101,117201,22081,George Armstrong Elementary School,1.0,67423.62,67423.62,25171.0
School Counselor,990101,464896,22091,Audubon Elementary School,1.0,92402.62,92402.62,30732.0
School Counselor,990101,250754,22101,Avalon Park School,1.0,91858.96,91858.96,30611.0
School Counselor,990101,250927,22131,Alice L Barnard Computer Math & Science Center,1.0,93689.86,93689.86,31018.0
School Counselor,990101,139779,22141,John Barry Elementary School,1.0,61161.47,61161.47,23778.0
School Counselor,990101,524508,22141,John Barry Elementary School,1.0,91858.95,91858.95,29380.0
School Counselor,990101,147258,22151,Clara W Barton School,1.0,96758.59,96758.59,31701.0
School Counselor,990101,112716,22161,Perkins Bass School,1.0,86940.25,86940.25,29516.0
School Counselor,990101,142880,22171,Newton Bateman Elementary School,0.5,62916.21,31458.11,12084.0
School Counselor,990101,143063,22171,Newton Bateman Elementary School,0.5,62916.21,31458.11,12084.0
School Counselor,990101,397455,22181,Lillian R Nicholson Specialty School For Science & Mathem,1.0,85206.48,85206.48,29130.0
School Counselor,990101,264730,22191,George Rogers Clark Elementary School,1.0,55096.0,55096.0,22427.0
School Counselor,990101,146183,22201,Jean Baptiste Beaubien School,1.0,64669.36,64669.36,24558.0
School Counselor,990101,224920,22211,Jacob Beidler School,1.0,61161.98,61161.98,23778.0
School Counselor,990101,510527,22211,Jacob Beidler School,1.0,54161.41,54161.41,21857.0
School Counselor,990101,522648,22221,Hiram H Belding School,1.0,54161.41,54161.41,22219.0
School Counselor,990101,117771,22231,Alexander Graham Bell School,1.0,71118.63,71118.63,25994.0
School Counselor,990101,143077,22241,Frank I Bennett School,1.0,93689.86,93689.86,31018.0
School Counselor,990101,445000,22251,South Shore Fine Arts Academy,1.0,55133.76,55133.76,22436.0
School Counselor,990101,483875,22261,James G Blaine School,1.0,61745.04,61745.04,23907.0
School Counselor,990101,134097,22271,Daniel Boone School,1.0,94951.85,94951.85,31299.0
School Counselor,990101,219930,22281,Scott Joplin School,1.0,77889.0,77889.0,27501.0
School Counselor,990101,489156,22291,Myra Bradwell School of Excellence,1.0,54161.41,54161.41,22219.0
School Counselor,990101,214673,22301,Alex Haley School,1.0,77888.81,77888.81,27501.0
