title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
School Culture Coordinator,500446,525259,22041,Louisa May Alcott School,1.0,49813.0,49813.0,20746.0
School Culture Coordinator,500446,520325,22261,James G Blaine School,1.0,80000.0,80000.0,27159.0
School Culture Coordinator,500446,525313,24781,Brian Piccolo Elementary School,1.0,76000.0,76000.0,26309.0
School Culture Coordinator,500446,511898,25331,Arnold Mireles Academy,1.0,55000.0,55000.0,21848.0
School Culture Coordinator,500446,447154,25541,William K Sullivan Specialty School,1.0,55000.0,55000.0,21848.0
School Culture Coordinator,500446,525377,26051,Dvorak Technology Academy School of Excellence,1.0,60000.0,60000.0,22910.0
School Culture Coordinator,500446,525409,26091,Morton School of Excellence,1.0,63800.0,63800.0,23717.0
School Culture Coordinator,500446,525021,26301,Ronald E McNair Elementary School of Excellence,1.0,76000.0,76000.0,26309.0
School Culture Coordinator,500446,525423,26521,Amos A Stagg School,1.0,76550.0,76550.0,26426.0
School Culture Coordinator,500446,520123,26791,Tarkington School of Excellence,1.0,53800.0,53800.0,21223.0
School Culture Coordinator,500446,525169,29401,Walt Disney Magnet School,1.0,76550.0,76550.0,26426.0
School Culture Coordinator,500446,287101,31161,Lawndale Community Academy School,1.0,63800.0,63800.0,23717.0
School Culture Coordinator,500446,520018,45231,Air Force Academy High School,1.0,85000.0,85000.0,28221.0
School Culture Coordinator,500446,510451,46021,Hancock High School,1.0,75000.0,75000.0,26097.0
School Culture Coordinator,500446,472582,46031,Roald Amundsen High School,1.0,76500.0,76500.0,25758.0
School Culture Coordinator,500446,512692,46171,Hyde Park Career Academy,1.0,65000.0,65000.0,23972.0
School Culture Coordinator,500446,525151,46211,Lake View High School,1.0,70000.0,70000.0,25035.0
School Culture Coordinator,500446,525157,46211,Lake View High School,1.0,55000.0,55000.0,21848.0
School Culture Coordinator,500446,525122,46271,Theodore Roosevelt High School,1.0,76550.0,76550.0,26426.0
School Culture Coordinator,500446,510495,46311,William Howard Taft High School,1.0,89000.0,89000.0,29071.0
School Culture Coordinator,500446,504033,46331,George Washington High School,1.0,49813.0,49813.0,20746.0
School Culture Coordinator,500446,511049,46331,George Washington High School,1.0,55000.0,55000.0,21848.0
School Culture Coordinator,500446,525270,46401,Percy L Julian High School,1.0,63000.0,63000.0,23547.0
School Culture Coordinator,500446,494585,46511,Lindblom Math and Science Academy High School,1.0,89300.0,89300.0,29135.0
School Culture Coordinator,600446,523576,46521,Devry University Advantage Academy,1.0,68000.0,68000.0,25300.0
School Culture Coordinator,500446,519879,46641,Richard T. Crane (RTC) Medical Preparatory High School,1.0,69723.0,69723.0,24976.0
School Culture Coordinator,500446,514639,47031,Emil G Hirsch Metropolitan High School,1.0,63800.0,63800.0,23168.0
School Culture Coordinator,500446,510845,47041,John Marshall Metropolitan High School,1.0,65000.0,65000.0,23413.0
School Culture Coordinator,500446,504599,53051,Ellen H Richards Career Academy,1.0,63800.0,63800.0,23717.0
School Culture Coordinator,500446,525239,55191,Bronzeville Scholastic Institute,1.0,62000.0,62000.0,22908.0
School Culture Coordinator,500446,485547,66411,Austin Business and Entrepreneurship Academy,1.0,47678.71,47678.71,20292.0
School Culture Coordinator,500446,525394,70020,Walter Payton College Preparatory  HS,1.0,89300.0,89300.0,29135.0
