title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
School Nurse,986900,121067,11385,Early Childhood Development - City Wide,1.0,88271.78,88271.78,28629.0
School Nurse,986900,247553,11385,Early Childhood Development - City Wide,1.0,104641.1,104641.1,32054.0
School Nurse,986900,478795,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,61831.14,61831.14,23927.0
School Nurse,986900,478807,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,88790.22,88790.22,29928.0
School Nurse,986900,478809,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,65338.53,65338.53,24707.0
School Nurse,986900,478810,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,81511.32,81511.32,28307.0
School Nurse,986900,112963,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,91403.33,91403.33,30509.0
School Nurse,986900,113089,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,65857.1,65857.1,24823.0
School Nurse,986900,113262,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,87149.47,87149.47,29562.0
School Nurse,986900,113437,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,85920.3,85920.3,29289.0
School Nurse,986900,114035,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,85920.3,85920.3,29289.0
School Nurse,986900,114513,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,75403.6,75403.6,26948.0
School Nurse,986900,115764,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,93664.63,93664.63,31013.0
School Nurse,986900,115878,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,83371.08,83371.08,28721.0
School Nurse,986900,116278,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,91884.19,91884.19,30616.0
School Nurse,986900,117755,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,84633.08,84633.08,29002.0
School Nurse,986900,117806,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,52727.73,52727.73,21900.0
School Nurse,986900,118718,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88790.22,88790.22,29928.0
School Nurse,986900,118987,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,73946.38,73946.38,26623.0
School Nurse,986900,119018,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,83371.08,83371.08,28721.0
School Nurse,986900,119249,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,73946.38,73946.38,26623.0
School Nurse,986900,119512,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,83371.08,83371.08,28721.0
School Nurse,986900,119667,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,91884.0,91884.0,30616.0
School Nurse,986900,120457,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88903.15,88903.15,29953.0
School Nurse,986900,120896,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,84658.32,84658.32,29008.0
School Nurse,986900,121039,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88790.22,88790.22,29928.0
School Nurse,986900,121161,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88246.55,88246.55,29807.0
School Nurse,986900,121269,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,92402.63,92402.63,30732.0
School Nurse,986900,122125,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,83371.08,83371.08,28721.0
School Nurse,986900,122535,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,81510.99,81510.99,28307.0
School Nurse,986900,122918,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,92402.63,92402.63,30732.0
School Nurse,986900,123089,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,90052.0,90052.0,30209.0
School Nurse,986900,123548,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,79944.45,79944.45,27959.0
School Nurse,986900,123572,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,85920.3,85920.3,29289.0
School Nurse,986900,123725,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,79944.28,79944.28,27959.0
School Nurse,986900,124756,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,79757.01,79757.01,27917.0
School Nurse,986900,124796,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,85920.3,85920.3,29289.0
School Nurse,986900,124813,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,84633.08,84633.08,29002.0
School Nurse,986900,124889,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,82632.41,82632.41,28557.0
School Nurse,986900,125419,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,83371.08,83371.08,28721.0
School Nurse,986900,127146,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,84658.32,84658.32,29008.0
School Nurse,986900,127286,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,84658.32,84658.32,29008.0
School Nurse,986900,127544,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,83371.08,83371.08,28721.0
School Nurse,986900,127897,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,83371.08,83371.08,28721.0
School Nurse,986900,128224,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,87149.47,87149.47,29562.0
School Nurse,986900,128545,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,77454.75,77454.75,27404.0
School Nurse,986900,129522,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,91884.0,91884.0,30616.0
School Nurse,986900,130337,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,50652.96,50652.96,21438.0
School Nurse,986900,130670,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,83371.08,83371.08,28721.0
School Nurse,986900,131966,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88271.78,88271.78,29812.0
School Nurse,986900,132394,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,84658.31,84658.31,29008.0
School Nurse,986900,132462,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,93689.86,93689.86,31018.0
School Nurse,986900,132484,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,93689.86,93689.86,31018.0
School Nurse,986900,132669,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,85920.3,85920.3,29289.0
School Nurse,986900,132851,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,79946.87,79946.87,27959.0
School Nurse,986900,132932,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,94951.85,94951.85,31299.0
School Nurse,986900,133018,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,69116.63,69116.63,25548.0
School Nurse,986900,133320,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,93664.63,93664.63,31013.0
School Nurse,986900,133571,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,79944.45,79944.45,27959.0
School Nurse,986900,133644,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,90596.94,90596.94,30330.0
School Nurse,986900,133652,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,57653.6,57653.6,22997.0
School Nurse,986900,133668,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,91884.19,91884.19,30616.0
School Nurse,986900,133756,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,91884.0,91884.0,30616.0
School Nurse,986900,133799,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,85394.15,85394.15,29172.0
School Nurse,986900,133804,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88271.79,88271.79,29812.0
School Nurse,986900,134036,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,75403.53,75403.53,26948.0
School Nurse,986900,134074,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,57990.41,57990.41,23072.0
School Nurse,986900,134084,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,86984.55,86984.55,29526.0
School Nurse,986900,134257,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,83265.55,83265.55,28698.0
School Nurse,986900,134303,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,84633.08,84633.08,29002.0
School Nurse,986900,134498,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,91339.45,91339.45,30495.0
School Nurse,986900,134535,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,84191.5,84191.5,28904.0
School Nurse,986900,134616,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,82632.41,82632.41,28557.0
School Nurse,986900,134649,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,83371.08,83371.08,28721.0
School Nurse,986900,134659,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,86940.38,86940.38,29516.0
School Nurse,986900,134851,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,94727.21,94727.21,31249.0
School Nurse,986900,135178,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88246.55,88246.55,29807.0
School Nurse,986900,135424,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88246.55,88246.55,29807.0
School Nurse,986900,135465,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,93689.87,93689.87,31018.0
School Nurse,986900,136227,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,76248.89,76248.89,27136.0
School Nurse,986900,136445,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,83371.26,83371.26,28721.0
School Nurse,986900,136638,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,84658.31,84658.31,29008.0
School Nurse,986900,136724,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88271.79,88271.79,29812.0
School Nurse,986900,136758,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,84633.07,84633.07,29002.0
School Nurse,986900,136853,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,93689.87,93689.87,31018.0
School Nurse,986900,136919,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,69116.63,69116.63,25548.0
School Nurse,986900,136922,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,91884.19,91884.19,30616.0
School Nurse,986900,137004,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,93689.86,93689.86,31018.0
School Nurse,986900,137127,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,84658.32,84658.32,29008.0
School Nurse,986900,137135,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,81886.43,81886.43,28391.0
School Nurse,986900,137193,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88271.78,88271.78,29812.0
School Nurse,986900,137212,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,86141.29,86141.29,29338.0
School Nurse,986900,137217,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,85695.66,85695.66,29239.0
School Nurse,986900,137415,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,85256.98,85256.98,29141.0
School Nurse,986900,137456,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,79757.01,79757.01,27917.0
School Nurse,986900,137553,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,84658.31,84658.31,29008.0
School Nurse,986900,137606,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,82632.41,82632.41,28557.0
School Nurse,986900,137632,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88271.79,88271.79,29812.0
School Nurse,986900,137718,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,82420.77,82420.77,28510.0
School Nurse,986900,137762,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,93146.18,93146.18,30897.0
School Nurse,986900,137822,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,94951.85,94951.85,31299.0
School Nurse,986900,138483,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,79944.45,79944.45,27959.0
School Nurse,986900,139196,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,81886.1,81886.1,28391.0
School Nurse,986900,140586,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,0.5,47475.93,23737.97,10366.0
School Nurse,986900,140709,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88246.55,88246.55,29807.0
School Nurse,986900,142298,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,93689.86,93689.86,31018.0
School Nurse,986900,142386,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88271.79,88271.79,29812.0
