title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
School Psychologist,986000,478789,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,62755.33,62755.33,24944.0
School Psychologist,986000,478790,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,55096.0,55096.0,23239.0
School Psychologist,986000,478791,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,61498.87,61498.87,24664.0
School Psychologist,986000,478792,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,59744.64,59744.64,24274.0
School Psychologist,986000,478793,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,62755.32,62755.32,24944.0
School Psychologist,986000,478794,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,57492.63,57492.63,23772.0
School Psychologist,986000,478813,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,61161.98,61161.98,24589.0
School Psychologist,986000,478814,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,59744.64,59744.64,24274.0
School Psychologist,986000,510544,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,84472.04,84472.04,29778.0
School Psychologist,986000,111987,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,90469.57,90469.57,31113.0
School Psychologist,986000,112464,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88246.55,88246.55,30618.0
School Psychologist,986000,112641,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,94951.85,94951.85,32111.0
School Psychologist,986000,112677,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,91403.57,91403.57,31321.0
School Psychologist,986000,112745,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,62755.0,62755.0,24944.0
School Psychologist,986000,112762,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,59744.66,59744.66,24274.0
School Psychologist,986000,112785,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,89533.78,89533.78,30905.0
School Psychologist,986000,113052,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,64669.83,64669.83,25370.0
School Psychologist,986000,113201,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88271.78,88271.78,30624.0
School Psychologist,986000,113239,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,96533.94,96533.94,32463.0
School Psychologist,986000,113499,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88694.16,88694.16,30718.0
School Psychologist,986000,113540,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,86984.54,86984.54,30337.0
School Psychologist,986000,113580,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,89533.78,89533.78,30905.0
School Psychologist,986000,113597,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,66423.58,66423.58,25760.0
School Psychologist,986000,113653,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,92402.62,92402.62,31543.0
School Psychologist,986000,113656,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,91403.81,91403.81,31321.0
School Psychologist,986000,113851,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,96758.59,96758.59,32513.0
School Psychologist,986000,113858,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,90366.42,90366.42,31090.0
School Psychologist,986000,113893,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,91403.33,91403.33,31321.0
School Psychologist,986000,113896,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,96758.58,96758.58,32513.0
School Psychologist,986000,113949,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,90077.46,90077.46,31026.0
School Psychologist,986000,114190,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,69365.57,69365.57,26415.0
School Psychologist,986000,114632,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,92402.63,92402.63,31543.0
