title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
School Security Officer,000480,519687,05281,Office of Education Options,1.0,33830.05,33830.05,17059.0
School Security Officer,000480,148813,10615,Safety and Security - City Wide,1.0,42366.29,42366.29,19164.0
School Security Officer,000480,149436,10615,Safety and Security - City Wide,1.0,30793.78,30793.78,16705.0
School Security Officer,000480,151252,10615,Safety and Security - City Wide,1.0,42366.29,42366.29,19164.0
School Security Officer,000480,153553,10615,Safety and Security - City Wide,1.0,40456.54,40456.54,18758.0
School Security Officer,000480,154392,10615,Safety and Security - City Wide,1.0,35399.46,35399.46,17684.0
School Security Officer,000480,154927,10615,Safety and Security - City Wide,1.0,35399.46,35399.46,17684.0
School Security Officer,000480,155519,10615,Safety and Security - City Wide,1.0,37070.51,37070.51,18039.0
School Security Officer,000480,156308,10615,Safety and Security - City Wide,1.0,30793.78,30793.78,16705.0
School Security Officer,000480,156384,10615,Safety and Security - City Wide,1.0,38663.23,38663.23,18377.0
School Security Officer,000480,156566,10615,Safety and Security - City Wide,1.0,36869.56,36869.56,17996.0
School Security Officer,000480,156780,10615,Safety and Security - City Wide,1.0,33830.05,33830.05,17350.0
School Security Officer,000480,156866,10615,Safety and Security - City Wide,1.0,42366.29,42366.29,19164.0
School Security Officer,000480,156982,10615,Safety and Security - City Wide,1.0,33343.16,33343.16,17247.0
School Security Officer,000480,157005,10615,Safety and Security - City Wide,1.0,35399.46,35399.46,17684.0
School Security Officer,000480,157023,10615,Safety and Security - City Wide,1.0,30541.77,30541.77,16652.0
School Security Officer,000480,157051,10615,Safety and Security - City Wide,1.0,30541.77,30541.77,16652.0
School Security Officer,000480,157054,10615,Safety and Security - City Wide,1.0,42366.29,42366.29,19164.0
School Security Officer,000480,157360,10615,Safety and Security - City Wide,1.0,32260.86,32260.86,17017.0
School Security Officer,000480,157427,10615,Safety and Security - City Wide,1.0,33343.16,33343.16,17247.0
School Security Officer,000480,157479,10615,Safety and Security - City Wide,1.0,40456.54,40456.54,18758.0
School Security Officer,000480,157729,10615,Safety and Security - City Wide,1.0,42366.29,42366.29,19164.0
School Security Officer,000480,157816,10615,Safety and Security - City Wide,1.0,32260.86,32260.86,17017.0
School Security Officer,000480,161031,10615,Safety and Security - City Wide,1.0,29175.26,29175.26,16361.0
School Security Officer,000480,161887,10615,Safety and Security - City Wide,1.0,35192.89,35192.89,17640.0
School Security Officer,000480,166060,10615,Safety and Security - City Wide,1.0,37070.51,37070.51,18039.0
School Security Officer,000480,167165,10615,Safety and Security - City Wide,1.0,33830.05,33830.05,17350.0
School Security Officer,000480,167804,10615,Safety and Security - City Wide,1.0,33830.05,33830.05,17350.0
School Security Officer,000480,168651,10615,Safety and Security - City Wide,1.0,33830.05,33830.05,17350.0
School Security Officer,000480,218052,10615,Safety and Security - City Wide,1.0,29175.26,29175.26,16361.0
School Security Officer,000480,225998,10615,Safety and Security - City Wide,1.0,29175.26,29175.26,16361.0
School Security Officer,000480,275646,10615,Safety and Security - City Wide,1.0,33343.16,33343.16,17247.0
School Security Officer,000480,275789,10615,Safety and Security - City Wide,1.0,33343.16,33343.16,17247.0
School Security Officer,000480,306360,10615,Safety and Security - City Wide,1.0,37070.51,37070.51,18039.0
School Security Officer,000480,364226,10615,Safety and Security - City Wide,1.0,30541.77,30541.77,16652.0
School Security Officer,000480,373659,10615,Safety and Security - City Wide,1.0,32260.86,32260.86,17017.0
School Security Officer,000480,450886,10615,Safety and Security - City Wide,1.0,33343.16,33343.16,17247.0
School Security Officer,000480,450892,10615,Safety and Security - City Wide,1.0,35192.89,35192.89,17640.0
School Security Officer,000480,450895,10615,Safety and Security - City Wide,1.0,33343.16,33343.16,17247.0
School Security Officer,000480,450902,10615,Safety and Security - City Wide,1.0,30793.78,30793.78,16705.0
