title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
School Social Svc Assistant,003501,248987,22991,James R Doolittle Jr Intermediate & Upper Cycle East,1.0,28012.6,28012.6,15873.0
School Social Svc Assistant,003501,520122,22991,James R Doolittle Jr Intermediate & Upper Cycle East,1.0,32651.99,32651.99,16847.0
School Social Svc Assistant,003501,510813,23081,Richard Edwards School,1.0,26641.22,26641.22,15823.0
School Social Svc Assistant,003501,525088,23101,Edward (Duke) K Ellington School,1.0,26641.22,26641.22,15823.0
School Social Svc Assistant,003501,467918,23311,Joseph E Gary School,1.0,26641.22,26641.22,15822.0
School Social Svc Assistant,003501,467920,23311,Joseph E Gary School,1.0,29383.99,29383.99,16406.0
School Social Svc Assistant,003501,150319,24071,John H Kinzie Elementary School,1.0,37132.06,37132.06,18052.0
School Social Svc Assistant,003501,157880,24281,Mary Lyon School,1.0,38246.03,38246.03,18288.0
School Social Svc Assistant,003501,514269,24751,Isabell C O'Keeffe School,1.0,26641.22,26641.22,15594.0
School Social Svc Assistant,003501,495876,25031,Ernst Prussing,1.0,29683.86,29683.86,16469.0
School Social Svc Assistant,003501,407106,25441,Herbert Spencer Math & Science Academy,1.0,32651.99,32651.99,17100.0
School Social Svc Assistant,003501,516079,25441,Herbert Spencer Math & Science Academy,1.0,31166.76,31166.76,16784.0
School Social Svc Assistant,003501,525067,25451,John Spry Community School,1.0,29383.99,29383.99,16153.0
School Social Svc Assistant,003501,157703,25581,Mancel Talcott School,1.0,32651.99,32651.99,17100.0
School Social Svc Assistant,003501,507242,26301,Ronald E McNair Elementary School of Excellence,1.0,26641.22,26641.22,15594.0
School Social Svc Assistant,003501,515201,26331,Richard Henry Lee School,1.0,32651.99,32651.99,17100.0
School Social Svc Assistant,003501,466481,26841,North River Elementary School,1.0,29683.86,29683.86,16469.0
School Social Svc Assistant,003501,234519,30101,Ruben Salazar Bilingual Education Center School,1.0,31166.76,31166.76,16785.0
School Social Svc Assistant,003501,505455,45231,Air Force Academy High School,1.0,26641.22,26641.22,15823.0
School Social Svc Assistant,003501,381646,46331,George Washington High School,1.0,31166.76,31166.76,16784.0
School Social Svc Assistant,003501,467466,46491,Bowen High School,1.0,29383.99,29383.99,16153.0
School Social Svc Assistant,003501,463383,47081,Frederick W Von Steuben Metropolitan Science Center,1.0,32651.99,32651.99,17100.0
