title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
School Social Worker,984100,112065,11385,Early Childhood Development - City Wide,1.0,109574.67,109574.67,33999.0
School Social Worker,984100,125854,11385,Early Childhood Development - City Wide,1.0,100987.55,100987.55,33533.0
School Social Worker,984100,134562,11385,Early Childhood Development - City Wide,1.0,93689.86,93689.86,30525.0
School Social Worker,984100,144578,11385,Early Childhood Development - City Wide,1.0,94951.85,94951.85,30789.0
School Social Worker,984100,247956,11385,Early Childhood Development - City Wide,1.0,109574.68,109574.68,35526.0
School Social Worker,984100,248316,11385,Early Childhood Development - City Wide,1.0,91884.19,91884.19,31428.0
School Social Worker,984100,248317,11385,Early Childhood Development - City Wide,1.0,88271.79,88271.79,30624.0
School Social Worker,984100,522501,11385,Early Childhood Development - City Wide,1.0,54161.41,54161.41,22256.0
School Social Worker,984100,478796,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,61001.1,61001.1,24553.0
School Social Worker,984100,478798,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,61161.98,61161.98,24589.0
School Social Worker,984100,478799,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,88462.93,88462.93,30666.0
School Social Worker,984100,478800,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,66423.59,66423.59,25760.0
School Social Worker,984100,478801,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,56236.21,56236.21,23493.0
School Social Worker,984100,111428,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,61161.97,61161.97,24589.0
School Social Worker,984100,111458,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,94951.85,94951.85,32111.0
School Social Worker,984100,111761,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,92152.15,92152.15,31487.0
School Social Worker,984100,112294,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,91403.33,91403.33,31321.0
School Social Worker,984100,112801,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,69365.72,69365.72,26415.0
School Social Worker,984100,112939,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88790.32,88790.32,30739.0
School Social Worker,984100,112970,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,90077.45,90077.45,31026.0
School Social Worker,984100,113224,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,90077.46,90077.46,31026.0
School Social Worker,984100,113465,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,93689.87,93689.87,31830.0
School Social Worker,984100,113529,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,90077.46,90077.46,31026.0
School Social Worker,984100,113553,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,81510.94,81510.94,29119.0
School Social Worker,984100,113867,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,93689.87,93689.87,31830.0
School Social Worker,984100,113878,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,72625.01,72625.01,27141.0
School Social Worker,984100,113907,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,77454.48,77454.48,28216.0
School Social Worker,984100,113970,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,79756.87,79756.87,28728.0
