title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Security Supervisor II,002977,486718,22611,William W Carter School,1.0,41795.89,41795.89,18683.0
Security Supervisor II,002977,485037,22671,Thomas Chalmers Specialty School,1.0,39842.07,39842.07,18285.0
Security Supervisor II,002977,525050,22931,Charles S Deneen School,1.0,39842.07,39842.07,18627.0
Security Supervisor II,002977,504873,23061,George W Curtis Elementary School,1.0,39842.07,39842.07,18627.0
Security Supervisor II,002977,507669,23061,George W Curtis Elementary School,1.0,41795.89,41795.89,19043.0
Security Supervisor II,002977,491506,23551,Sharon Christa Mcauliffe Elementary School,1.0,44341.62,44341.62,19583.0
Security Supervisor II,002977,505707,23771,Theodore Herzl School,1.0,39842.07,39842.07,18285.0
Security Supervisor II,002977,505708,23771,Theodore Herzl School,1.0,37888.25,37888.25,17887.0
Security Supervisor II,002977,162924,24011,Pablo Casals,1.0,37888.25,37888.25,18212.0
Security Supervisor II,002977,487733,24011,Pablo Casals,1.0,41795.89,41795.89,18863.0
Security Supervisor II,002977,484341,24151,Leslie Lewis School,1.0,37888.25,37888.25,17887.0
Security Supervisor II,002977,466860,24781,Brian Piccolo Elementary School,1.0,37888.25,37888.25,18212.0
Security Supervisor II,002977,385449,26091,Morton School of Excellence,1.0,39842.07,39842.07,18627.0
Security Supervisor II,002977,525304,26141,John Foster Dulles Elementary School of Excellence,1.0,41795.89,41795.89,18683.0
Security Supervisor II,002977,493370,28151,Orr Academy,1.0,44642.68,44642.68,19647.0
Security Supervisor II,002977,517574,32031,National Teachers' Academy (NTA),1.0,39842.07,39842.07,18627.0
Security Supervisor II,002977,150979,46031,Roald Amundsen High School,1.0,42167.07,42167.07,19121.0
Security Supervisor II,002977,354849,46291,Charles P Steinmetz Academic Centre,1.0,51361.27,51361.27,20633.0
Security Supervisor II,002977,520208,46301,Roger C Sullivan High School,1.0,41795.89,41795.89,19043.0
Security Supervisor II,002977,335428,46401,Percy L Julian High School,1.0,42167.07,42167.07,19121.0
Security Supervisor II,002977,520352,46431,North Grand High School,1.0,44341.62,44341.62,19583.0
Security Supervisor II,002977,449797,47041,John Marshall Metropolitan High School,1.0,46567.04,46567.04,19656.0
Security Supervisor II,002977,158714,53101,Marie Sklodowska Curie Metropolitan High School,1.0,39842.07,39842.07,18627.0
Security Supervisor II,002977,434079,53101,Marie Sklodowska Curie Metropolitan High School,1.0,39842.07,39842.07,18627.0
Security Supervisor II,002977,511406,53121,Edward Tilden Career Commmunity Academy,1.0,42167.07,42167.07,19121.0
Security Supervisor II,002977,494789,66511,Austin Multiplex,1.0,37888.25,37888.25,18212.0
