title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Senior Administrative Asst,500377,243823,10210,Law Office,1.0,45281.75,45281.75,19783.0
Senior Administrative Asst,500377,378026,10910,LSC Relations,1.0,45000.0,45000.0,19723.0
Senior Administrative Asst,500377,489027,11610,Diverse Learner Supports & Services,1.0,42944.72,42944.72,18917.0
Senior Administrative Asst,500377,489031,11610,Diverse Learner Supports & Services,1.0,74772.85,74772.85,26048.0
Senior Administrative Asst,500377,489032,11610,Diverse Learner Supports & Services,1.0,71153.27,71153.27,24668.0
Senior Administrative Asst,500377,489038,11610,Diverse Learner Supports & Services,1.0,53900.0,53900.0,21151.0
Senior Administrative Asst,500377,489039,11610,Diverse Learner Supports & Services,1.0,55000.0,55000.0,21375.0
Senior Administrative Asst,500377,500828,11610,Diverse Learner Supports & Services,1.0,50000.0,50000.0,20356.0
Senior Administrative Asst,500377,510111,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,46000.0,46000.0,19540.0
Senior Administrative Asst,500377,295717,12510,Information & Technology Services,1.0,45019.92,45019.92,19727.0
