title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Senior Budget Analyst,500386,318592,11860,Facility Operations & Maintenance,1.0,78000.0,78000.0,26734.0
Senior Budget Analyst,500386,258732,12610,Budget & Management Office,1.0,70000.0,70000.0,24433.0
Senior Budget Analyst,500386,469630,12610,Budget & Management Office,1.0,69300.0,69300.0,24886.0
Senior Budget Analyst,500386,470799,12610,Budget & Management Office,1.0,70000.0,70000.0,25035.0
Senior Budget Analyst,500386,470803,12610,Budget & Management Office,1.0,75000.0,75000.0,26097.0
Senior Budget Analyst,500386,470804,12610,Budget & Management Office,1.0,68000.0,68000.0,24610.0
Senior Budget Analyst,500386,470805,12610,Budget & Management Office,1.0,69300.0,69300.0,24886.0
Senior Budget Analyst,500386,516119,12610,Budget & Management Office,1.0,64000.0,64000.0,23760.0
Senior Budget Analyst,500386,516615,12610,Budget & Management Office,1.0,68000.0,68000.0,24610.0
Senior Budget Analyst,500386,517402,12610,Budget & Management Office,1.0,67000.0,67000.0,24397.0
