title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Senior Financial Specialist,500396,242029,15010,School Support Center,1.0,75000.0,75000.0,26097.0
Senior Financial Specialist,500396,246647,15010,School Support Center,1.0,74000.0,74000.0,25884.0
Senior Financial Specialist,500396,246648,15010,School Support Center,1.0,72249.27,72249.27,25512.0
Senior Financial Specialist,500396,246649,15010,School Support Center,1.0,79000.0,79000.0,26947.0
Senior Financial Specialist,500396,258397,15010,School Support Center,1.0,58455.0,58455.0,22582.0
Senior Financial Specialist,500396,398931,15010,School Support Center,1.0,67000.0,67000.0,24397.0
Senior Financial Specialist,500396,416936,15010,School Support Center,1.0,63530.93,63530.93,23660.0
Senior Financial Specialist,500396,416937,15010,School Support Center,1.0,72100.0,72100.0,25481.0
Senior Financial Specialist,500396,416955,15010,School Support Center,1.0,74160.0,74160.0,25918.0
Senior Financial Specialist,500396,474597,15010,School Support Center,1.0,67800.0,67800.0,24567.0
Senior Financial Specialist,500396,474598,15010,School Support Center,1.0,77832.68,77832.68,26699.0
Senior Financial Specialist,500396,476608,15010,School Support Center,1.0,80922.33,80922.33,27355.0
Senior Financial Specialist,500396,501079,15010,School Support Center,1.0,67000.0,67000.0,24397.0
Senior Financial Specialist,500396,512536,15010,School Support Center,1.0,70000.0,70000.0,25035.0
