title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Senior Manager,020015,520188,10825,Professional Learning Office,1.0,115000.0,115000.0,33606.0
Senior Manager,020015,479853,11110,Network Support,1.0,140000.0,140000.0,39906.0
Senior Manager,010015,520111,11110,Network Support,1.0,132035.99,132035.99,39554.0
Senior Manager,020015,263047,11360,Early Childhood Development,1.0,102514.71,102514.71,31942.0
Senior Manager,010015,245497,11385,Early Childhood Development - City Wide,1.0,104000.0,104000.0,33313.0
Senior Manager,020015,512245,11385,Early Childhood Development - City Wide,1.0,103000.0,103000.0,32045.0
Senior Manager,020015,270654,11610,Diverse Learner Supports & Services,1.0,95100.0,95100.0,29549.0
Senior Manager,010015,421213,11610,Diverse Learner Supports & Services,1.0,120000.0,120000.0,35267.0
Senior Manager,010015,495270,11610,Diverse Learner Supports & Services,1.0,106000.0,106000.0,33759.0
Senior Manager,020015,245793,12610,Budget & Management Office,1.0,115000.0,115000.0,34595.0
Senior Manager,020015,515049,12610,Budget & Management Office,1.0,121000.0,121000.0,35869.0
Senior Manager,020015,242689,13610,Innovation and Incubation,1.0,105600.0,105600.0,32598.0
Senior Manager,020015,502644,13725,Early College and Career,1.0,95100.0,95100.0,30367.0
Senior Manager,020015,517171,13725,Early College and Career,1.0,120000.0,120000.0,35658.0
