title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Senior School Security Officer,002983,147788,10615,Safety and Security - City Wide,1.0,48785.65,48785.65,20528.0
Senior School Security Officer,002983,157401,10615,Safety and Security - City Wide,1.0,40763.4,40763.4,18823.0
Senior School Security Officer,002983,158898,10615,Safety and Security - City Wide,1.0,48785.65,48785.65,20528.0
Senior School Security Officer,002983,159797,10615,Safety and Security - City Wide,1.0,48785.65,48785.65,20528.0
Senior School Security Officer,002983,162645,10615,Safety and Security - City Wide,1.0,40763.4,40763.4,18823.0
Senior School Security Officer,002983,474748,10615,Safety and Security - City Wide,1.0,37070.51,37070.51,18039.0
Senior School Security Officer,002983,474857,10615,Safety and Security - City Wide,1.0,37070.51,37070.51,18039.0
Senior School Security Officer,002983,494524,10615,Safety and Security - City Wide,1.0,37070.51,37070.51,18039.0
Senior School Security Officer,002983,494525,10615,Safety and Security - City Wide,1.0,33489.96,33489.96,17278.0
Senior School Security Officer,002983,494526,10615,Safety and Security - City Wide,1.0,36753.62,36753.62,17971.0
Senior School Security Officer,002983,155797,22031,Louis J Agassiz School,1.0,42004.13,42004.13,19087.0
Senior School Security Officer,002983,165698,22071,New Field School,1.0,46586.73,46586.73,20060.0
Senior School Security Officer,002983,156169,22141,John Barry Elementary School,1.0,44388.56,44388.56,19593.0
Senior School Security Officer,002983,163179,22191,George Rogers Clark Elementary School,1.0,44388.56,44388.56,19593.0
Senior School Security Officer,002983,217545,22201,Jean Baptiste Beaubien School,1.0,44388.56,44388.56,19593.0
Senior School Security Officer,002983,165439,22241,Frank I Bennett School,1.0,51098.91,51098.91,21019.0
Senior School Security Officer,002983,506613,22291,Myra Bradwell School of Excellence,1.0,33489.96,33489.96,17278.0
Senior School Security Officer,002983,159057,22301,Alex Haley School,1.0,37070.51,37070.51,18039.0
Senior School Security Officer,002983,520206,22361,Charles S Brownell School,1.0,36753.62,36753.62,17971.0
Senior School Security Officer,002983,218070,22371,Bouchet Academy,1.0,38839.99,38839.99,18415.0
Senior School Security Officer,002983,495497,22441,Irene C. Hernandez Middle School for the Advancement of the Sciences,1.0,48785.65,48785.65,20528.0
Senior School Security Officer,002983,162460,22531,Daniel R Cameron Elementary School,1.0,44388.56,44388.56,19593.0
Senior School Security Officer,002983,263042,22531,Daniel R Cameron Elementary School,1.0,42366.29,42366.29,19164.0
Senior School Security Officer,002983,159876,22621,George Washington Carver Elementary,1.0,38839.99,38839.99,18415.0
Senior School Security Officer,002983,299059,22621,George Washington Carver Elementary,1.0,38839.99,38839.99,18415.0
Senior School Security Officer,002983,154253,22771,Edward Coles Model For Excellence School,1.0,46586.73,46586.73,20060.0
Senior School Security Officer,002983,147938,22801,John W Cook Elementary School,1.0,46586.73,46586.73,20060.0
Senior School Security Officer,002983,151137,22811,Jordan Community School,1.0,44388.56,44388.56,19593.0
Senior School Security Officer,002983,161662,22831,Peter Cooper Dual Language Academy,1.0,44388.56,44388.56,19593.0
Senior School Security Officer,002983,162797,22881,Charles R Darwin School,1.0,42004.13,42004.13,19087.0
Senior School Security Officer,002983,163350,22901,Charles Gates Dawes School,1.0,48785.65,48785.65,20528.0
Senior School Security Officer,002983,482237,22931,Charles S Deneen School,1.0,35122.02,35122.02,17625.0
Senior School Security Officer,002983,221865,22981,Dodge Renaissance Academy,1.0,35122.02,35122.02,17625.0
Senior School Security Officer,002983,155538,23001,John C Dore School,1.0,44388.56,44388.56,19593.0
Senior School Security Officer,002983,166611,23011,John B Drake School,1.0,40763.4,40763.4,18823.0
Senior School Security Officer,002983,163792,23021,Thomas Drummond Elementary School,1.0,42366.29,42366.29,19164.0
Senior School Security Officer,002983,504868,23061,George W Curtis Elementary School,1.0,36753.62,36753.62,17655.0
Senior School Security Officer,002983,157043,23221,John Fiske School,1.0,44388.56,44388.56,19593.0
Senior School Security Officer,002983,504977,23351,Jesse Owens Elementary Community Academy,1.0,36753.62,36753.62,17655.0
Senior School Security Officer,002983,217673,23371,William C. Goudy Technology Academy,1.0,38839.99,38839.99,18415.0
Senior School Security Officer,002983,306362,23421,Ariel Community Academy,1.0,44711.55,44711.55,19662.0
Senior School Security Officer,002983,217672,23511,John H Hamline Elementary School,1.0,51098.91,51098.91,21019.0
Senior School Security Officer,002983,494519,23551,Sharon Christa Mcauliffe Elementary School,1.0,38839.99,38839.99,18414.0
Senior School Security Officer,002983,482296,23581,John Harvard Elementary School of Excellence,1.0,38839.99,38839.99,18415.0
Senior School Security Officer,002983,226041,23621,Stephen K Hayt School,1.0,44388.56,44388.56,19593.0
Senior School Security Officer,002983,491370,23641,Wendell Smith,1.0,37070.51,37070.51,17720.0
