title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Special Ed Classroom Assist II,000494,267014,20071,Columbia Explorers Academy,1.0,35731.72,35731.72,17754.0
Special Ed Classroom Assist II,000494,386669,20071,Columbia Explorers Academy,1.0,35408.82,35408.82,17686.0
Special Ed Classroom Assist II,000494,395518,20071,Columbia Explorers Academy,1.0,37440.53,37440.53,18117.0
Special Ed Classroom Assist II,000494,241328,22031,Louis J Agassiz School,1.0,40968.47,40968.47,18867.0
Special Ed Classroom Assist II,000494,259864,22031,Louis J Agassiz School,1.0,37440.53,37440.53,18117.0
Special Ed Classroom Assist II,000494,394399,22031,Louis J Agassiz School,1.0,37440.53,37440.53,18117.0
Special Ed Classroom Assist II,000494,429196,22031,Louis J Agassiz School,1.0,42896.08,42896.08,19276.0
Special Ed Classroom Assist II,000494,455063,22031,Louis J Agassiz School,1.0,35408.82,35408.82,17686.0
Special Ed Classroom Assist II,000494,475395,22031,Louis J Agassiz School,1.0,35408.82,35408.82,17686.0
Special Ed Classroom Assist II,000494,479217,22031,Louis J Agassiz School,1.0,35408.82,35408.82,17686.0
Special Ed Classroom Assist II,000494,494170,22031,Louis J Agassiz School,1.0,35731.72,35731.72,17754.0
Special Ed Classroom Assist II,000494,251899,22041,Louisa May Alcott School,1.0,35731.72,35731.72,17754.0
Special Ed Classroom Assist II,000494,394417,22041,Louisa May Alcott School,1.0,35408.82,35408.82,17685.0
Special Ed Classroom Assist II,000494,475071,22041,Louisa May Alcott School,1.0,35408.82,35408.82,17686.0
Special Ed Classroom Assist II,000494,475072,22041,Louisa May Alcott School,1.0,35408.82,35408.82,17686.0
Special Ed Classroom Assist II,000494,475073,22041,Louisa May Alcott School,1.0,35408.82,35408.82,17686.0
Special Ed Classroom Assist II,000494,397272,22061,Philip D Armour School,1.0,35408.82,35408.82,17686.0
Special Ed Classroom Assist II,000494,150688,22071,New Field School,1.0,39148.82,39148.82,18480.0
Special Ed Classroom Assist II,000494,230784,22071,New Field School,1.0,40968.47,40968.47,18867.0
Special Ed Classroom Assist II,000494,303451,22071,New Field School,1.0,37440.53,37440.53,18117.0
Special Ed Classroom Assist II,000494,303454,22071,New Field School,1.0,35731.72,35731.72,17754.0
