title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Special Ed Classroom Assist,000464,284805,20071,Columbia Explorers Academy,1.0,36168.04,36168.04,17847.0
Special Ed Classroom Assist,000464,289788,20071,Columbia Explorers Academy,1.0,36168.04,36168.04,17847.0
Special Ed Classroom Assist,000464,515022,20071,Columbia Explorers Academy,1.0,31098.27,31098.27,16770.0
Special Ed Classroom Assist,000464,151423,22021,Jane Addams School,1.0,37876.56,37876.56,18210.0
Special Ed Classroom Assist,000464,317630,22031,Louis J Agassiz School,1.0,37876.56,37876.56,18210.0
Special Ed Classroom Assist,000464,426981,22031,Louis J Agassiz School,1.0,41623.56,41623.56,19006.0
Special Ed Classroom Assist,000464,494169,22031,Louis J Agassiz School,1.0,34136.31,34136.31,17415.0
Special Ed Classroom Assist,000464,402273,22041,Louisa May Alcott School,1.0,37876.56,37876.56,18210.0
Special Ed Classroom Assist,000464,476998,22061,Philip D Armour School,1.0,32587.15,32587.15,17086.0
Special Ed Classroom Assist,000464,502786,22061,Philip D Armour School,1.0,34459.22,34459.22,17484.0
Special Ed Classroom Assist,000464,426150,22071,New Field School,1.0,34136.31,34136.31,17415.0
Special Ed Classroom Assist,000464,216859,22081,George Armstrong Elementary School,1.0,37876.56,37876.56,18210.0
Special Ed Classroom Assist,000464,429866,22081,George Armstrong Elementary School,1.0,32587.15,32587.15,17086.0
Special Ed Classroom Assist,000464,432822,22081,George Armstrong Elementary School,1.0,39695.96,39695.96,18596.0
Special Ed Classroom Assist,000464,483014,22081,George Armstrong Elementary School,1.0,32587.15,32587.15,17086.0
Special Ed Classroom Assist,000464,494421,22081,George Armstrong Elementary School,1.0,34136.31,34136.31,17415.0
Special Ed Classroom Assist,000464,494422,22081,George Armstrong Elementary School,1.0,36168.04,36168.04,17847.0
Special Ed Classroom Assist,000464,519709,22091,Audubon Elementary School,1.0,32587.15,32587.15,17086.0
Special Ed Classroom Assist,000464,506089,22101,Avalon Park School,1.0,32587.15,32587.15,17086.0
Special Ed Classroom Assist,000464,429326,22141,John Barry Elementary School,1.0,31098.27,31098.27,16770.0
Special Ed Classroom Assist,000464,481038,22141,John Barry Elementary School,1.0,32587.15,32587.15,17086.0
Special Ed Classroom Assist,000464,397010,22151,Clara W Barton School,1.0,36168.04,36168.04,17847.0
Special Ed Classroom Assist,000464,520894,22151,Clara W Barton School,1.0,37876.56,37876.56,18210.0
Special Ed Classroom Assist,000464,521017,22151,Clara W Barton School,1.0,37876.56,37876.56,18210.0
Special Ed Classroom Assist,000464,521091,22151,Clara W Barton School,1.0,37876.56,37876.56,18210.0
Special Ed Classroom Assist,000464,521136,22151,Clara W Barton School,1.0,37876.56,37876.56,18210.0
Special Ed Classroom Assist,000464,522335,22151,Clara W Barton School,0.5,32587.15,16293.58,8404.0
Special Ed Classroom Assist,000464,523009,22151,Clara W Barton School,0.5,32587.15,16293.58,8543.0
Special Ed Classroom Assist,000464,487890,22161,Perkins Bass School,1.0,31098.27,31098.27,16770.0
Special Ed Classroom Assist,000464,498039,22161,Perkins Bass School,1.0,32587.15,32587.15,17086.0
Special Ed Classroom Assist,000464,511521,22161,Perkins Bass School,1.0,31098.27,31098.27,16770.0
Special Ed Classroom Assist,000464,479209,22181,Lillian R Nicholson Specialty School For Science & Mathem,1.0,34459.22,34459.22,17484.0
Special Ed Classroom Assist,000464,488624,22181,Lillian R Nicholson Specialty School For Science & Mathem,1.0,34136.31,34136.31,17415.0
Special Ed Classroom Assist,000464,148722,22191,George Rogers Clark Elementary School,1.0,37876.56,37876.56,18210.0
Special Ed Classroom Assist,000464,525228,22191,George Rogers Clark Elementary School,1.0,39695.96,39695.96,18596.0
Special Ed Classroom Assist,000464,152079,22201,Jean Baptiste Beaubien School,1.0,37876.56,37876.56,18210.0
Special Ed Classroom Assist,000464,255811,22201,Jean Baptiste Beaubien School,1.0,36168.04,36168.04,17847.0
Special Ed Classroom Assist,000464,497943,22201,Jean Baptiste Beaubien School,1.0,34459.22,34459.22,17484.0
Special Ed Classroom Assist,000464,520892,22201,Jean Baptiste Beaubien School,1.0,37876.56,37876.56,18210.0
Special Ed Classroom Assist,000464,521015,22201,Jean Baptiste Beaubien School,1.0,37876.56,37876.56,18210.0
Special Ed Classroom Assist,000464,521089,22201,Jean Baptiste Beaubien School,1.0,37876.56,37876.56,18210.0
Special Ed Classroom Assist,000464,521134,22201,Jean Baptiste Beaubien School,1.0,37876.56,37876.56,18210.0
Special Ed Classroom Assist,000464,521158,22201,Jean Baptiste Beaubien School,1.0,37876.56,37876.56,18210.0
