title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Special Education Teacher,500629,519635,05281,Office of Education Options,1.0,93146.18,93146.18,29649.0
Special Education Teacher,500629,514188,11116,AUSL Program Support,0.2,57990.43,11598.09,2426.0
Special Education Teacher,500629,520089,11116,AUSL Program Support,0.2,57492.63,11498.53,2405.0
Special Education Teacher,500629,520096,11116,AUSL Program Support,0.2,57653.6,11530.72,2412.0
Special Education Teacher,500629,520102,11116,AUSL Program Support,0.2,57990.43,11598.09,2426.0
Special Education Teacher,500629,520107,11116,AUSL Program Support,0.2,72625.06,14525.01,3039.0
Special Education Teacher,500629,476102,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,88715.63,88715.63,29911.0
Special Education Teacher,500629,476186,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,75403.53,75403.53,26948.0
Special Education Teacher,500629,476187,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,95471.37,95471.37,31415.0
Special Education Teacher,500629,476203,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,90077.45,90077.45,30214.0
Special Education Teacher,500629,476204,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,85019.8,85019.8,29088.0
Special Education Teacher,500629,478797,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,50652.96,50652.96,21438.0
Special Education Teacher,500629,478815,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,79745.65,79745.65,27914.0
Special Education Teacher,500629,475425,12670,Education General - City Wide,1.0,88715.98,88715.98,29911.0
Special Education Teacher,500629,476304,12670,Education General - City Wide,1.0,61161.97,61161.97,23778.0
Special Education Teacher,500629,480031,12670,Education General - City Wide,1.0,69365.72,69365.72,25604.0
Special Education Teacher,500629,514819,12670,Education General - City Wide,1.0,88715.63,88715.63,29911.0
Special Education Teacher,500629,516387,12670,Education General - City Wide,1.0,94951.85,94951.85,31299.0
Special Education Teacher,500629,519913,12670,Education General - City Wide,1.0,88715.63,88715.63,29911.0
Special Education Teacher,500629,121357,20071,Columbia Explorers Academy,1.0,51587.54,51587.54,21646.0
Special Education Teacher,500629,241516,20071,Columbia Explorers Academy,1.0,50652.96,50652.96,21438.0
Special Education Teacher,500629,250231,20071,Columbia Explorers Academy,1.0,51587.54,51587.54,21646.0
Special Education Teacher,500629,350509,20071,Columbia Explorers Academy,1.0,50652.96,50652.96,21438.0
Special Education Teacher,500629,410323,20071,Columbia Explorers Academy,1.0,55095.99,55095.99,22427.0
Special Education Teacher,500629,501442,20071,Columbia Explorers Academy,1.0,54161.41,54161.41,22219.0
Special Education Teacher,500629,520675,20071,Columbia Explorers Academy,1.0,65338.53,65338.53,24707.0
Special Education Teacher,500629,520811,20071,Columbia Explorers Academy,1.0,65338.53,65338.53,24707.0
Special Education Teacher,500629,520867,20071,Columbia Explorers Academy,1.0,65338.53,65338.53,24707.0
Special Education Teacher,500629,115316,22021,Jane Addams School,1.0,85920.3,85920.3,29289.0
