title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Student Engagement Specialist,500908,460776,05281,Office of Education Options,1.0,53000.0,53000.0,20967.0
Student Engagement Specialist,500908,460777,05281,Office of Education Options,1.0,53000.0,53000.0,20967.0
Student Engagement Specialist,500908,477628,05281,Office of Education Options,1.0,53000.0,53000.0,20967.0
Student Engagement Specialist,500908,517306,05281,Office of Education Options,1.0,53000.0,53000.0,20967.0
Student Engagement Specialist,500908,517576,10610,School Safety and Security Office,1.0,50000.0,50000.0,20356.0
Student Engagement Specialist,500908,478463,10875,Citywide Student Support and Engagement,1.0,53000.0,53000.0,21423.0
Student Engagement Specialist,500908,478464,10875,Citywide Student Support and Engagement,1.0,53000.0,53000.0,21423.0
Student Engagement Specialist,500908,478465,10875,Citywide Student Support and Engagement,1.0,53000.0,53000.0,21423.0
Student Engagement Specialist,500908,478466,10875,Citywide Student Support and Engagement,1.0,53000.0,53000.0,21423.0
Student Engagement Specialist,500908,478467,10875,Citywide Student Support and Engagement,1.0,53000.0,53000.0,21423.0
Student Engagement Specialist,500908,478468,10875,Citywide Student Support and Engagement,1.0,53000.0,53000.0,21423.0
Student Engagement Specialist,500908,478469,10875,Citywide Student Support and Engagement,1.0,53000.0,53000.0,21423.0
Student Engagement Specialist,500908,478470,10875,Citywide Student Support and Engagement,1.0,53000.0,53000.0,21423.0
Student Engagement Specialist,500908,478471,10875,Citywide Student Support and Engagement,1.0,53000.0,53000.0,21423.0
Student Engagement Specialist,500908,478472,10875,Citywide Student Support and Engagement,1.0,53000.0,53000.0,21423.0
Student Engagement Specialist,500908,478473,10875,Citywide Student Support and Engagement,1.0,53000.0,53000.0,21423.0
Student Engagement Specialist,500908,478474,10875,Citywide Student Support and Engagement,1.0,53000.0,53000.0,21423.0
Student Engagement Specialist,500908,501408,10875,Citywide Student Support and Engagement,1.0,53000.0,53000.0,21423.0
Student Engagement Specialist,500908,501409,10875,Citywide Student Support and Engagement,1.0,53000.0,53000.0,21423.0
Student Engagement Specialist,500908,501410,10875,Citywide Student Support and Engagement,1.0,53000.0,53000.0,21423.0
Student Engagement Specialist,500908,515467,10875,Citywide Student Support and Engagement,1.0,53000.0,53000.0,21423.0
Student Engagement Specialist,500908,515468,10875,Citywide Student Support and Engagement,1.0,53000.0,53000.0,21423.0
Student Engagement Specialist,500908,515469,10875,Citywide Student Support and Engagement,1.0,53000.0,53000.0,21423.0
