title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Teacher - Librarian,983300,481579,13700,Literacy,1.0,98443.46,98443.46,30757.0
Teacher - Librarian,983300,445435,22441,Irene C. Hernandez Middle School for the Advancement of the Sciences,1.0,78910.44,78910.44,27728.0
Teacher - Librarian,983300,292035,22661,Horace Greeley School,0.5,91884.19,45942.1,15308.0
Teacher - Librarian,983300,445341,22681,Eliza Chappell Elementary School,1.0,68847.49,68847.49,25488.0
Teacher - Librarian,983300,491520,23251,Joseph Kellman Corporate Community School,1.0,87581.66,87581.66,29659.0
Teacher - Librarian,983300,389415,24281,Mary Lyon School,1.0,89533.78,89533.78,30093.0
Teacher - Librarian,983300,240104,24451,Francis M Mckay School,1.0,86940.26,86940.26,29516.0
Teacher - Librarian,983300,444125,29131,Hawthorne Scholastic Academy,1.0,61161.47,61161.47,23778.0
Teacher - Librarian,983300,262501,29221,Philip Murray Language Academy,0.5,77454.48,38727.24,13702.0
Teacher - Librarian,983300,422322,29221,Philip Murray Language Academy,0.5,77454.48,38727.24,13702.0
Teacher - Librarian,983300,423447,29291,Stone Scholastic Academy,1.0,73946.38,73946.38,26623.0
Teacher - Librarian,983300,424413,31211,Pulaski International School of Chicago,0.5,61161.47,30580.74,11889.0
Teacher - Librarian,983300,483563,46031,Roald Amundsen High School,1.0,88790.22,88790.22,29928.0
Teacher - Librarian,983300,422999,46261,Wendell Phillips Academy,1.0,90658.27,90658.27,30344.0
Teacher - Librarian,983300,487107,46321,Lincoln Park High School,1.0,61161.47,61161.47,23778.0
Teacher - Librarian,983300,484648,46331,George Washington High School,1.0,57492.86,57492.86,22961.0
Teacher - Librarian,983300,503933,46331,George Washington High School,1.0,94951.85,94951.85,31299.0
Teacher - Librarian,983300,524364,47021,William Jones College Prep High School,1.0,93664.63,93664.63,31013.0
Teacher - Librarian,983300,350106,53071,George Westinghouse High School,1.0,91858.96,91858.96,30611.0
Teacher - Librarian,983300,524353,53091,David G Farragut Career Academy High School,1.0,76134.15,76134.15,27110.0
Teacher - Librarian,983300,523846,55011,Phoenix Military Academy,1.0,88902.61,88902.61,29953.0
