title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Teacher Assistant Bilingual II,000479,163274,22201,Jean Baptiste Beaubien School,1.0,38343.59,38343.59,18309.0
Teacher Assistant Bilingual II,000479,148851,22351,William H Brown Elementary School,1.0,33859.91,33859.91,17357.0
Teacher Assistant Bilingual II,000479,259874,22421,Augustus H Burley Elementary School,1.0,32374.18,32374.18,17041.0
Teacher Assistant Bilingual II,000479,250573,22471,Jonathan Burr Elementary School,1.0,30891.27,30891.27,16726.0
Teacher Assistant Bilingual II,000479,520142,22531,Daniel R Cameron Elementary School,1.0,29226.95,29226.95,16372.0
Teacher Assistant Bilingual II,000479,392885,22601,Rachel Carson Elementary School,1.0,37268.73,37268.73,18081.0
Teacher Assistant Bilingual II,000479,451347,22601,Rachel Carson Elementary School,1.0,32374.18,32374.18,17041.0
Teacher Assistant Bilingual II,000479,160184,22751,Dewitt Clinton School,1.0,33859.91,33859.91,17357.0
Teacher Assistant Bilingual II,000479,488228,22791,Christopher Columbus School,1.0,30891.27,30891.27,16460.0
Teacher Assistant Bilingual II,000479,212254,22861,Manuel Perez Jr Elementary School,1.0,29226.95,29226.95,16121.0
Teacher Assistant Bilingual II,000479,387662,22881,Charles R Darwin School,1.0,29226.95,29226.95,16372.0
Teacher Assistant Bilingual II,000479,393457,23081,Richard Edwards School,1.0,38343.59,38343.59,18309.0
Teacher Assistant Bilingual II,000479,161671,23411,Josefa Ortiz De Dominguez Elementary School New Gary,1.0,29226.95,29226.95,16372.0
Teacher Assistant Bilingual II,000479,392888,23511,John H Hamline Elementary School,1.0,30891.27,30891.27,16460.0
Teacher Assistant Bilingual II,000479,506574,23511,John H Hamline Elementary School,1.0,30597.31,30597.31,16663.0
Teacher Assistant Bilingual II,000479,241641,23541,William F Finkl,1.0,35510.36,35510.36,17707.0
Teacher Assistant Bilingual II,000479,512870,23731,Patrick Henry School,1.0,29226.95,29226.95,16372.0
Teacher Assistant Bilingual II,000479,491413,24011,Pablo Casals,1.0,32374.18,32374.18,17041.0
Teacher Assistant Bilingual II,000479,150182,24221,Henry D Lloyd School,1.0,30597.31,30597.31,16663.0
Teacher Assistant Bilingual II,000479,406585,24221,Henry D Lloyd School,1.0,33859.91,33859.91,17357.0
Teacher Assistant Bilingual II,000479,151533,24281,Mary Lyon School,1.0,37268.73,37268.73,18081.0
Teacher Assistant Bilingual II,000479,468428,24341,Marquette Elementary,1.0,30597.31,30597.31,16663.0
Teacher Assistant Bilingual II,000479,161901,24361,John L Marsh School,1.0,30891.27,30891.27,16726.0
Teacher Assistant Bilingual II,000479,484656,24691,Alfred Nobel Elementary School,1.0,29226.95,29226.95,16372.0
Teacher Assistant Bilingual II,000479,504480,24851,Louis Pasteur School,1.0,30891.27,30891.27,16726.0
Teacher Assistant Bilingual II,000479,156184,24871,Ferdinand W Peck School,1.0,29226.95,29226.95,16372.0
Teacher Assistant Bilingual II,000479,476918,25101,Frank W Reilly School,1.0,30597.31,30597.31,16663.0
Teacher Assistant Bilingual II,000479,163812,25151,Cesar E Chavez Multicultural Academic Center,1.0,32374.18,32374.18,17041.0
Teacher Assistant Bilingual II,000479,153634,25231,Sidney Sawyer School,1.0,38343.59,38343.59,18309.0
Teacher Assistant Bilingual II,000479,167300,25231,Sidney Sawyer School,1.0,30891.27,30891.27,16726.0
Teacher Assistant Bilingual II,000479,323046,25231,Sidney Sawyer School,1.0,38343.59,38343.59,18309.0
Teacher Assistant Bilingual II,000479,512023,25331,Arnold Mireles Academy,1.0,29226.95,29226.95,16372.0
Teacher Assistant Bilingual II,000479,492708,25451,John Spry Community School,1.0,32374.18,32374.18,16901.0
Teacher Assistant Bilingual II,000479,507645,25451,John Spry Community School,1.0,29226.95,29226.95,16372.0
Teacher Assistant Bilingual II,000479,486296,26821,Calmeca Academy of Fine Arts and Dual Language,1.0,29226.95,29226.95,16372.0
Teacher Assistant Bilingual II,000479,152093,29151,Maria Saucedo Scholastic Academy,1.0,33859.91,33859.91,17357.0
Teacher Assistant Bilingual II,000479,486626,46101,Eric Solorio Academy High School,1.0,29226.95,29226.95,16372.0
Teacher Assistant Bilingual II,000479,486629,46101,Eric Solorio Academy High School,1.0,29226.95,29226.95,16372.0
Teacher Assistant Bilingual II,000479,497870,46101,Eric Solorio Academy High School,1.0,29226.95,29226.95,16372.0
Teacher Assistant Bilingual II,000479,159561,46131,Edwin G Foreman High School,1.0,33859.91,33859.91,17357.0
Teacher Assistant Bilingual II,000479,157184,47021,William Jones College Prep High School,1.0,38343.59,38343.59,18309.0
Teacher Assistant Bilingual II,000479,151598,47081,Frederick W Von Steuben Metropolitan Science Center,1.0,30597.31,30597.31,16663.0
Teacher Assistant Bilingual II,000479,149156,49021,Northside Learning Center,1.0,33859.91,33859.91,17357.0
