title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Teacher Assistant II,000483,514955,11116,AUSL Program Support,1.0,29226.95,29226.95,16121.0
Teacher Assistant II,000483,520646,11116,AUSL Program Support,1.0,27963.84,27963.84,15863.0
Teacher Assistant II,000483,425114,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,32374.18,32374.18,17041.0
Teacher Assistant II,000483,173250,20071,Columbia Explorers Academy,1.0,29226.95,29226.95,16121.0
Teacher Assistant II,000483,226852,20071,Columbia Explorers Academy,1.0,32374.18,32374.18,16762.0
Teacher Assistant II,000483,408818,20071,Columbia Explorers Academy,1.0,30597.31,30597.31,16663.0
Teacher Assistant II,000483,451375,20071,Columbia Explorers Academy,1.0,29226.95,29226.95,16372.0
Teacher Assistant II,000483,522495,20071,Columbia Explorers Academy,1.0,29226.95,29226.95,16372.0
Teacher Assistant II,000483,522556,20071,Columbia Explorers Academy,1.0,29226.95,29226.95,16372.0
Teacher Assistant II,000483,387977,22031,Louis J Agassiz School,1.0,30891.27,30891.27,16726.0
Teacher Assistant II,000483,428304,22041,Louisa May Alcott School,1.0,32374.18,32374.18,17041.0
Teacher Assistant II,000483,452758,22041,Louisa May Alcott School,1.0,29226.95,29226.95,16372.0
Teacher Assistant II,000483,510032,22041,Louisa May Alcott School,1.0,29226.95,29226.95,16372.0
Teacher Assistant II,000483,510033,22041,Louisa May Alcott School,1.0,29226.95,29226.95,16372.0
Teacher Assistant II,000483,453472,22061,Philip D Armour School,1.0,32374.18,32374.18,17041.0
Teacher Assistant II,000483,159097,22071,New Field School,1.0,29226.95,29226.95,16121.0
Teacher Assistant II,000483,250606,22071,New Field School,1.0,32374.18,32374.18,16762.0
Teacher Assistant II,000483,158692,22091,Audubon Elementary School,1.0,29226.95,29226.95,16372.0
Teacher Assistant II,000483,249016,22091,Audubon Elementary School,1.0,29226.95,29226.95,16372.0
Teacher Assistant II,000483,452741,22101,Avalon Park School,1.0,29226.95,29226.95,16373.0
Teacher Assistant II,000483,152571,22131,Alice L Barnard Computer Math & Science Center,1.0,35510.36,35510.36,17707.0
Teacher Assistant II,000483,154959,22131,Alice L Barnard Computer Math & Science Center,1.0,33859.91,33859.91,17357.0
Teacher Assistant II,000483,388121,22141,John Barry Elementary School,1.0,32374.18,32374.18,17041.0
Teacher Assistant II,000483,496441,22161,Perkins Bass School,1.0,29226.95,29226.95,16121.0
Teacher Assistant II,000483,156271,22171,Newton Bateman Elementary School,1.0,39461.44,39461.44,18547.0
Teacher Assistant II,000483,515177,22181,Lillian R Nicholson Specialty School For Science & Mathem,1.0,29226.95,29226.95,16372.0
Teacher Assistant II,000483,253488,22211,Jacob Beidler School,1.0,29226.95,29226.95,16372.0
Teacher Assistant II,000483,464054,22211,Jacob Beidler School,1.0,30597.31,30597.31,16663.0
Teacher Assistant II,000483,501251,22211,Jacob Beidler School,1.0,30891.27,30891.27,16460.0
Teacher Assistant II,000483,501252,22221,Hiram H Belding School,1.0,29226.95,29226.95,16372.0
Teacher Assistant II,000483,226214,22231,Alexander Graham Bell School,1.0,29226.95,29226.95,16372.0
Teacher Assistant II,000483,500100,22251,South Shore Fine Arts Academy,1.0,29226.95,29226.95,16373.0
