title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Teacher Assistant,000463,519686,05281,Office of Education Options,1.0,28144.93,28144.93,15900.0
Teacher Assistant,000463,156016,20071,Columbia Explorers Academy,1.0,29515.3,29515.3,16434.0
Teacher Assistant,000463,264023,20071,Columbia Explorers Academy,1.0,31292.16,31292.16,16542.0
Teacher Assistant,000463,487296,20071,Columbia Explorers Academy,1.0,28144.93,28144.93,16142.0
Teacher Assistant,000463,487297,20071,Columbia Explorers Academy,1.0,29515.3,29515.3,16434.0
Teacher Assistant,000463,510879,20071,Columbia Explorers Academy,1.0,28144.93,28144.93,16142.0
Teacher Assistant,000463,522554,20071,Columbia Explorers Academy,1.0,28144.93,28144.93,16142.0
Teacher Assistant,000463,227901,22021,Jane Addams School,1.0,37261.57,37261.57,18079.0
Teacher Assistant,000463,475651,22021,Jane Addams School,1.0,34428.35,34428.35,17477.0
Teacher Assistant,000463,162464,22031,Louis J Agassiz School,1.0,29515.3,29515.3,16434.0
Teacher Assistant,000463,157028,22041,Louisa May Alcott School,1.0,38379.42,38379.42,18317.0
Teacher Assistant,000463,277555,22071,New Field School,1.0,31292.16,31292.16,16542.0
Teacher Assistant,000463,413468,22071,New Field School,1.0,32777.9,32777.9,16845.0
Teacher Assistant,000463,388177,22081,George Armstrong Elementary School,1.0,36186.71,36186.71,17851.0
Teacher Assistant,000463,161059,22091,Audubon Elementary School,1.0,32777.9,32777.9,17127.0
Teacher Assistant,000463,165822,22131,Alice L Barnard Computer Math & Science Center,1.0,28144.93,28144.93,16143.0
Teacher Assistant,000463,153608,22141,John Barry Elementary School,1.0,38379.42,38379.42,18317.0
Teacher Assistant,000463,155792,22141,John Barry Elementary School,1.0,32777.9,32777.9,17127.0
Teacher Assistant,000463,394919,22171,Newton Bateman Elementary School,1.0,37261.57,37261.57,18079.0
Teacher Assistant,000463,478561,22171,Newton Bateman Elementary School,1.0,29515.3,29515.3,16434.0
Teacher Assistant,000463,468482,22181,Lillian R Nicholson Specialty School For Science & Mathem,1.0,29515.3,29515.3,16180.0
Teacher Assistant,000463,165989,22191,George Rogers Clark Elementary School,1.0,34428.35,34428.35,17477.0
Teacher Assistant,000463,165658,22211,Jacob Beidler School,1.0,31292.16,31292.16,16811.0
Teacher Assistant,000463,522539,22211,Jacob Beidler School,1.0,28144.93,28144.93,16142.0
Teacher Assistant,000463,157957,22221,Hiram H Belding School,1.0,38379.42,38379.42,18317.0
Teacher Assistant,000463,160296,22221,Hiram H Belding School,1.0,38379.42,38379.42,18317.0
Teacher Assistant,000463,150300,22231,Alexander Graham Bell School,1.0,37261.57,37261.57,18079.0
Teacher Assistant,000463,158678,22231,Alexander Graham Bell School,1.0,31292.16,31292.16,16811.0
Teacher Assistant,000463,162231,22241,Frank I Bennett School,1.0,37261.57,37261.57,18079.0
Teacher Assistant,000463,255639,22271,Daniel Boone School,1.0,32777.9,32777.9,17127.0
Teacher Assistant,000463,388131,22271,Daniel Boone School,1.0,36186.71,36186.71,17540.0
Teacher Assistant,000463,303965,22281,Scott Joplin School,1.0,32777.9,32777.9,17127.0
Teacher Assistant,000463,522758,22281,Scott Joplin School,1.0,28144.93,28144.93,15900.0
Teacher Assistant,000463,522003,22301,Alex Haley School,1.0,28144.93,28144.93,16142.0
Teacher Assistant,000463,150093,22311,Brentano Math & Science Academy,1.0,31292.16,31292.16,16811.0
Teacher Assistant,000463,256374,22311,Brentano Math & Science Academy,1.0,29809.25,29809.25,16496.0
Teacher Assistant,000463,519814,22311,Brentano Math & Science Academy,0.5,28144.93,14072.47,8071.0
Teacher Assistant,000463,519895,22311,Brentano Math & Science Academy,0.5,28144.93,14072.47,8071.0
Teacher Assistant,000463,419249,22341,Federico Garcia Lorca Elementary School,1.0,34428.35,34428.35,17477.0
Teacher Assistant,000463,440944,22341,Federico Garcia Lorca Elementary School,1.0,29809.25,29809.25,16240.0
Teacher Assistant,000463,152112,22371,Bouchet Academy,1.0,32777.9,32777.9,17127.0
Teacher Assistant,000463,498164,22371,Bouchet Academy,1.0,36186.71,36186.71,17540.0
Teacher Assistant,000463,498167,22371,Bouchet Academy,1.0,36186.71,36186.71,17540.0
