title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Teacher Asst Bil Spanish I,000476,166100,22081,George Armstrong Elementary School,1.0,36186.71,36186.71,17851.0
Teacher Asst Bil Spanish I,000476,388033,22081,George Armstrong Elementary School,1.0,32777.9,32777.9,17127.0
Teacher Asst Bil Spanish I,000476,512001,22141,John Barry Elementary School,1.0,28144.93,28144.93,16142.0
Teacher Asst Bil Spanish I,000476,263052,22201,Jean Baptiste Beaubien School,1.0,36186.71,36186.71,17851.0
Teacher Asst Bil Spanish I,000476,215856,22401,Luther Burbank School,1.0,38379.42,38379.42,18317.0
Teacher Asst Bil Spanish I,000476,227058,22481,John C Burroughs School,1.0,32777.9,32777.9,17127.0
Teacher Asst Bil Spanish I,000476,525149,22891,Nathan S Davis School & Annex,1.0,28144.93,28144.93,16142.0
Teacher Asst Bil Spanish I,000476,525232,22891,Nathan S Davis School & Annex,1.0,28144.93,28144.93,16142.0
Teacher Asst Bil Spanish I,000476,164430,23041,John F Eberhart School,1.0,37261.57,37261.57,18079.0
Teacher Asst Bil Spanish I,000476,525252,23041,John F Eberhart School,1.0,29515.3,29515.3,16180.0
Teacher Asst Bil Spanish I,000476,500204,23371,William C. Goudy Technology Academy,1.0,38379.42,38379.42,17987.0
Teacher Asst Bil Spanish I,000476,241347,23551,Sharon Christa Mcauliffe Elementary School,1.0,31292.16,31292.16,16811.0
Teacher Asst Bil Spanish I,000476,231602,23591,Helge A Haugan,1.0,34428.35,34428.35,17181.0
Teacher Asst Bil Spanish I,000476,520298,23611,Emiliano Zapata Academy,1.0,28144.93,28144.93,16142.0
Teacher Asst Bil Spanish I,000476,525248,23611,Emiliano Zapata Academy,1.0,28144.93,28144.93,15900.0
Teacher Asst Bil Spanish I,000476,511921,23671,Phoebe Apperson Hearst School,1.0,28144.93,28144.93,16142.0
Teacher Asst Bil Spanish I,000476,160618,23681,James Hedges School Main,1.0,38379.42,38379.42,18317.0
Teacher Asst Bil Spanish I,000476,268982,23681,James Hedges School Main,1.0,38379.42,38379.42,18317.0
Teacher Asst Bil Spanish I,000476,517481,23801,William G Hibbard School,1.0,31292.16,31292.16,16811.0
Teacher Asst Bil Spanish I,000476,159598,24421,George B McClellan Elementary School,1.0,38379.42,38379.42,18317.0
Teacher Asst Bil Spanish I,000476,505874,24531,James Monroe School,1.0,34428.35,34428.35,17181.0
Teacher Asst Bil Spanish I,000476,167520,24671,Florence Nightingale School,1.0,37261.57,37261.57,18079.0
Teacher Asst Bil Spanish I,000476,426140,24681,William P Nixon School,1.0,38379.42,38379.42,18317.0
Teacher Asst Bil Spanish I,000476,161451,24931,Irma C Ruiz School,1.0,38379.42,38379.42,18317.0
Teacher Asst Bil Spanish I,000476,269589,25101,Frank W Reilly School,1.0,36186.71,36186.71,17851.0
Teacher Asst Bil Spanish I,000476,492520,25101,Frank W Reilly School,1.0,31292.16,31292.16,16811.0
Teacher Asst Bil Spanish I,000476,149607,25291,Franz Peter Schubert School,1.0,31292.16,31292.16,16811.0
Teacher Asst Bil Spanish I,000476,393022,25301,William H Seward Communication Arts Academy,1.0,31292.16,31292.16,16542.0
Teacher Asst Bil Spanish I,000476,493575,25301,William H Seward Communication Arts Academy,1.0,31292.16,31292.16,16811.0
Teacher Asst Bil Spanish I,000476,525005,25361,James Shields Elementary School,1.0,28144.93,28144.93,16142.0
Teacher Asst Bil Spanish I,000476,151775,25521,Harriet Beecher Stowe School,1.0,29515.3,29515.3,16434.0
Teacher Asst Bil Spanish I,000476,148574,25591,Douglas Taylor Elementary School,1.0,31292.16,31292.16,16811.0
Teacher Asst Bil Spanish I,000476,502554,25591,Douglas Taylor Elementary School,1.0,28144.93,28144.93,16142.0
Teacher Asst Bil Spanish I,000476,464539,25841,Eli Whitney School,1.0,28144.93,28144.93,15900.0
Teacher Asst Bil Spanish I,000476,492635,25841,Eli Whitney School,1.0,29809.25,29809.25,16496.0
Teacher Asst Bil Spanish I,000476,150010,25911,Richard Yates Elementary School,1.0,37261.57,37261.57,18079.0
Teacher Asst Bil Spanish I,000476,158129,25911,Richard Yates Elementary School,1.0,34428.35,34428.35,17477.0
Teacher Asst Bil Spanish I,000476,346306,25951,Richard J Daley Academy,1.0,34428.35,34428.35,17477.0
Teacher Asst Bil Spanish I,000476,525068,25991,Joseph Brennemann School,1.0,28144.93,28144.93,16142.0
Teacher Asst Bil Spanish I,000476,260018,29151,Maria Saucedo Scholastic Academy,0.5,37261.57,18630.79,9040.0
Teacher Asst Bil Spanish I,000476,525262,29151,Maria Saucedo Scholastic Academy,0.5,37261.57,18630.79,9040.0
Teacher Asst Bil Spanish I,000476,525264,29151,Maria Saucedo Scholastic Academy,1.0,28144.93,28144.93,15900.0
Teacher Asst Bil Spanish I,000476,152673,32021,Lionel Hampton Fine and Performing Arts School,1.0,32777.9,32777.9,17127.0
Teacher Asst Bil Spanish I,000476,162083,46201,John F Kennedy High School,1.0,31292.16,31292.16,16811.0
Teacher Asst Bil Spanish I,000476,148140,46221,Albert G Lane Technical High School,1.0,32777.9,32777.9,17127.0
Teacher Asst Bil Spanish I,000476,158067,46271,Theodore Roosevelt High School,1.0,32777.9,32777.9,17127.0
