title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Teacher Asst Bil Spanish II,000477,166151,22601,Rachel Carson Elementary School,1.0,30891.27,30891.27,16726.0
Teacher Asst Bil Spanish II,000477,451288,22891,Nathan S Davis School & Annex,1.0,33859.91,33859.91,17357.0
Teacher Asst Bil Spanish II,000477,525160,23491,Nathan Hale School,1.0,38343.59,38343.59,18309.0
Teacher Asst Bil Spanish II,000477,222166,23531,Charles G Hammond School,1.0,29226.95,29226.95,16372.0
Teacher Asst Bil Spanish II,000477,147945,23541,William F Finkl,1.0,35510.36,35510.36,17707.0
Teacher Asst Bil Spanish II,000477,515965,23611,Emiliano Zapata Academy,1.0,30597.31,30597.31,16663.0
Teacher Asst Bil Spanish II,000477,387720,23621,Stephen K Hayt School,1.0,33859.91,33859.91,17356.0
Teacher Asst Bil Spanish II,000477,504223,23801,William G Hibbard School,1.0,38343.59,38343.59,18309.0
Teacher Asst Bil Spanish II,000477,404936,23911,Edward N Hurley School,1.0,32374.18,32374.18,17041.0
Teacher Asst Bil Spanish II,000477,225302,23931,Minnie Mars Jamieson School,1.0,32374.18,32374.18,17041.0
Teacher Asst Bil Spanish II,000477,461816,24871,Ferdinand W Peck School,1.0,30597.31,30597.31,16663.0
Teacher Asst Bil Spanish II,000477,388015,25061,Ravenswood School,1.0,30891.27,30891.27,16726.0
Teacher Asst Bil Spanish II,000477,158203,25101,Frank W Reilly School,1.0,38343.59,38343.59,18309.0
Teacher Asst Bil Spanish II,000477,165886,25231,Sidney Sawyer School,1.0,29226.95,29226.95,16121.0
Teacher Asst Bil Spanish II,000477,510837,25361,James Shields Elementary School,1.0,29226.95,29226.95,16121.0
Teacher Asst Bil Spanish II,000477,525059,25581,Mancel Talcott School,1.0,29226.95,29226.95,16121.0
Teacher Asst Bil Spanish II,000477,502556,25591,Douglas Taylor Elementary School,1.0,29226.95,29226.95,16372.0
Teacher Asst Bil Spanish II,000477,152299,25841,Eli Whitney School,1.0,38343.59,38343.59,18309.0
Teacher Asst Bil Spanish II,000477,166576,26331,Richard Henry Lee School,1.0,33859.91,33859.91,17357.0
Teacher Asst Bil Spanish II,000477,525081,27091,James Shields Middle School,1.0,30597.31,30597.31,16532.0
Teacher Asst Bil Spanish II,000477,468427,29071,Gerald Delgado Kanoon Magnet School,1.0,30891.27,30891.27,16726.0
Teacher Asst Bil Spanish II,000477,484100,29071,Gerald Delgado Kanoon Magnet School,1.0,30891.27,30891.27,16726.0
Teacher Asst Bil Spanish II,000477,484104,29071,Gerald Delgado Kanoon Magnet School,1.0,30891.27,30891.27,16726.0
Teacher Asst Bil Spanish II,000477,525026,29121,Frank W Gunsaulus Scholastic Academy School,1.0,29226.95,29226.95,16372.0
Teacher Asst Bil Spanish II,000477,159091,29141,Galileo Scholastic Academy Of Math & Science,1.0,33859.91,33859.91,17357.0
Teacher Asst Bil Spanish II,000477,155997,29291,Stone Scholastic Academy,1.0,38343.59,38343.59,18309.0
Teacher Asst Bil Spanish II,000477,492725,30141,Courtenay Language Arts Center,1.0,32374.18,32374.18,16762.0
Teacher Asst Bil Spanish II,000477,525101,41041,Francisco I Madero Middle School,1.0,32374.18,32374.18,17041.0
Teacher Asst Bil Spanish II,000477,153762,41091,Logandale Middle School,1.0,35510.36,35510.36,17707.0
Teacher Asst Bil Spanish II,000477,232656,46421,Benito Juarez High School,1.0,33859.91,33859.91,17357.0
Teacher Asst Bil Spanish II,000477,525136,46551,Back of the Yards,1.0,29226.95,29226.95,16372.0
Teacher Asst Bil Spanish II,000477,156736,53041,Charles Allen Prosser Career Academy,1.0,35510.36,35510.36,17707.0
