title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Teacher Asst-Montessori Prm II,002519,148540,22761,Henry R Clissold School,1.0,36153.53,36153.53,17844.0
Teacher Asst-Montessori Prm II,002519,236442,22761,Henry R Clissold School,1.0,37857.16,37857.16,18206.0
Teacher Asst-Montessori Prm II,002519,257767,22761,Henry R Clissold School,1.0,34448.61,34448.61,17482.0
Teacher Asst-Montessori Prm II,002519,485412,22761,Henry R Clissold School,1.0,34448.61,34448.61,17482.0
Teacher Asst-Montessori Prm II,002519,502017,22761,Henry R Clissold School,1.0,31096.83,31096.83,16770.0
Teacher Asst-Montessori Prm II,002519,274927,23021,Thomas Drummond Elementary School,1.0,32854.43,32854.43,17143.0
Teacher Asst-Montessori Prm II,002519,274928,23021,Thomas Drummond Elementary School,1.0,31096.83,31096.83,16770.0
Teacher Asst-Montessori Prm II,002519,274930,23021,Thomas Drummond Elementary School,1.0,32854.43,32854.43,17143.0
Teacher Asst-Montessori Prm II,002519,298955,24401,Oscar F Mayer Elementary School,1.0,31096.83,31096.83,16770.0
Teacher Asst-Montessori Prm II,002519,298956,24401,Oscar F Mayer Elementary School,1.0,31096.83,31096.83,16770.0
Teacher Asst-Montessori Prm II,002519,310400,24401,Oscar F Mayer Elementary School,1.0,32581.55,32581.55,17085.0
Teacher Asst-Montessori Prm II,002519,328964,24401,Oscar F Mayer Elementary School,1.0,31096.83,31096.83,16770.0
Teacher Asst-Montessori Prm II,002519,328965,24401,Oscar F Mayer Elementary School,1.0,31096.83,31096.83,16770.0
Teacher Asst-Montessori Prm II,002519,328967,24401,Oscar F Mayer Elementary School,1.0,32854.43,32854.43,17143.0
Teacher Asst-Montessori Prm II,002519,328985,24401,Oscar F Mayer Elementary School,1.0,31096.83,31096.83,16770.0
Teacher Asst-Montessori Prm II,002519,453691,24401,Oscar F Mayer Elementary School,1.0,31096.83,31096.83,16770.0
Teacher Asst-Montessori Prm II,002519,475224,24401,Oscar F Mayer Elementary School,1.0,32854.43,32854.43,17143.0
Teacher Asst-Montessori Prm II,002519,502572,24401,Oscar F Mayer Elementary School,1.0,31096.83,31096.83,16770.0
Teacher Asst-Montessori Prm II,002519,502600,24401,Oscar F Mayer Elementary School,1.0,31096.83,31096.83,16770.0
Teacher Asst-Montessori Prm II,002519,291307,26881,Suder Montessori Magnet School,1.0,31096.83,31096.83,16770.0
Teacher Asst-Montessori Prm II,002519,291320,26881,Suder Montessori Magnet School,1.0,31096.83,31096.83,16770.0
Teacher Asst-Montessori Prm II,002519,291321,26881,Suder Montessori Magnet School,1.0,31096.83,31096.83,16770.0
Teacher Asst-Montessori Prm II,002519,291323,26881,Suder Montessori Magnet School,1.0,32581.55,32581.55,17085.0
Teacher Asst-Montessori Prm II,002519,291326,26881,Suder Montessori Magnet School,1.0,32854.43,32854.43,17143.0
Teacher Asst-Montessori Prm II,002519,291327,26881,Suder Montessori Magnet School,1.0,32854.43,32854.43,17143.0
Teacher Asst-Montessori Prm II,002519,291330,26881,Suder Montessori Magnet School,1.0,34448.61,34448.61,17482.0
Teacher Asst-Montessori Prm II,002519,291335,26881,Suder Montessori Magnet School,1.0,31096.83,31096.83,16770.0
Teacher Asst-Montessori Prm II,002519,329353,26881,Suder Montessori Magnet School,1.0,32854.43,32854.43,17143.0
Teacher Asst-Montessori Prm II,002519,525429,26881,Suder Montessori Magnet School,1.0,31096.83,31096.83,16770.0
Teacher Asst-Montessori Prm II,002519,525450,26881,Suder Montessori Magnet School,1.0,31096.83,31096.83,16770.0
Teacher Asst-Montessori Prm II,002519,525451,26881,Suder Montessori Magnet School,1.0,31096.83,31096.83,16770.0
