title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Teacher Asst-Montessori Prm,002520,150883,22761,Henry R Clissold School,1.0,39736.33,39736.33,18605.0
Teacher Asst-Montessori Prm,002520,252263,22761,Henry R Clissold School,1.0,39736.33,39736.33,18605.0
Teacher Asst-Montessori Prm,002520,462876,22761,Henry R Clissold School,1.0,35071.51,35071.51,17614.0
Teacher Asst-Montessori Prm,002520,274929,23021,Thomas Drummond Elementary School,1.0,33366.6,33366.6,17252.0
Teacher Asst-Montessori Prm,002520,274931,23021,Thomas Drummond Elementary School,1.0,30014.81,30014.81,16540.0
Teacher Asst-Montessori Prm,002520,274932,23021,Thomas Drummond Elementary School,1.0,33366.6,33366.6,17252.0
Teacher Asst-Montessori Prm,002520,386499,23021,Thomas Drummond Elementary School,1.0,31772.41,31772.41,16913.0
Teacher Asst-Montessori Prm,002520,298912,24401,Oscar F Mayer Elementary School,1.0,33366.6,33366.6,17252.0
Teacher Asst-Montessori Prm,002520,298957,24401,Oscar F Mayer Elementary School,1.0,31772.41,31772.41,16913.0
Teacher Asst-Montessori Prm,002520,328966,24401,Oscar F Mayer Elementary School,1.0,31772.41,31772.41,16913.0
Teacher Asst-Montessori Prm,002520,328984,24401,Oscar F Mayer Elementary School,1.0,30014.81,30014.81,16540.0
Teacher Asst-Montessori Prm,002520,328986,24401,Oscar F Mayer Elementary School,1.0,30014.81,30014.81,16540.0
Teacher Asst-Montessori Prm,002520,328987,24401,Oscar F Mayer Elementary School,1.0,33366.6,33366.6,17252.0
