title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Teacher-Citywide,990100,114640,11385,Early Childhood Development - City Wide,1.0,95040.01,95040.01,31319.0
Teacher-Citywide,990100,119448,11385,Early Childhood Development - City Wide,1.0,86568.34,86568.34,29433.0
Teacher-Citywide,990100,246304,11385,Early Childhood Development - City Wide,1.0,94581.99,94581.99,31217.0
Teacher-Citywide,990100,247959,11385,Early Childhood Development - City Wide,1.0,86123.73,86123.73,29334.0
Teacher-Citywide,990100,476310,11385,Early Childhood Development - City Wide,1.0,94453.95,94453.95,31188.0
Teacher-Citywide,990100,476312,11385,Early Childhood Development - City Wide,1.0,98415.91,98415.91,32070.0
Teacher-Citywide,990100,476313,11385,Early Childhood Development - City Wide,1.0,82409.05,82409.05,28507.0
Teacher-Citywide,990100,476356,11385,Early Childhood Development - City Wide,1.0,85125.86,85125.86,29112.0
Teacher-Citywide,990100,476357,11385,Early Childhood Development - City Wide,1.0,97923.03,97923.03,31961.0
Teacher-Citywide,990100,476358,11385,Early Childhood Development - City Wide,1.0,100998.57,100998.57,32645.0
Teacher-Citywide,990100,476359,11385,Early Childhood Development - City Wide,1.0,103852.58,103852.58,33281.0
Teacher-Citywide,990100,476360,11385,Early Childhood Development - City Wide,1.0,92792.33,92792.33,30819.0
Teacher-Citywide,990100,476361,11385,Early Childhood Development - City Wide,1.0,102364.8,102364.8,32949.0
Teacher-Citywide,990100,476362,11385,Early Childhood Development - City Wide,1.0,89495.89,89495.89,30085.0
Teacher-Citywide,990100,476429,11385,Early Childhood Development - City Wide,1.0,61109.75,61109.75,23766.0
Teacher-Citywide,990100,491466,11385,Early Childhood Development - City Wide,1.0,102392.35,102392.35,32956.0
Teacher-Citywide,990100,512246,11385,Early Childhood Development - City Wide,1.0,97846.41,97846.41,30632.0
Teacher-Citywide,990100,522503,11385,Early Childhood Development - City Wide,1.0,95017.64,95017.64,30041.0
Teacher-Citywide,990100,522504,11385,Early Childhood Development - City Wide,1.0,89265.22,89265.22,28837.0
Teacher-Citywide,990100,522505,11385,Early Childhood Development - City Wide,1.0,92770.87,92770.87,29571.0
Teacher-Citywide,990100,522506,11385,Early Childhood Development - City Wide,1.0,91454.88,91454.88,29295.0
Teacher-Citywide,990100,522507,11385,Early Childhood Development - City Wide,1.0,67042.93,67042.93,24188.0
Teacher-Citywide,990100,132085,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,85920.3,85920.3,28138.0
Teacher-Citywide,990100,136670,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,88903.0,88903.0,28762.0
Teacher-Citywide,990100,146362,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,93690.0,93690.0,29763.0
Teacher-Citywide,990100,258745,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,86141.42,86141.42,28184.0
Teacher-Citywide,990100,258746,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,86141.29,86141.29,28184.0
Teacher-Citywide,990100,271155,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,83452.57,83452.57,27621.0
Teacher-Citywide,990100,511097,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,85394.15,85394.15,29172.0
Teacher-Citywide,990100,121751,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,93689.86,93689.86,31018.0
Teacher-Citywide,990100,125143,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,93664.63,93664.63,31013.0
Teacher-Citywide,990100,127354,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,91339.45,91339.45,29271.0
Teacher-Citywide,990100,136124,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,85695.66,85695.66,28091.0
Teacher-Citywide,990100,136185,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,81886.43,81886.43,27294.0
Teacher-Citywide,990100,208679,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,85920.3,85920.3,28138.0
