title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Teacher-Speech Pathologist,989100,113449,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,65338.61,65338.61,25519.0
Teacher-Speech Pathologist,989100,242455,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,90596.96,90596.96,31141.0
Teacher-Speech Pathologist,989100,481333,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,77157.01,77157.01,28150.0
Teacher-Speech Pathologist,989100,481334,11671,ODLSS Instructional Supports: Access & Opportunities,1.0,87895.21,87895.21,30540.0
Teacher-Speech Pathologist,989100,127399,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,94951.85,94951.85,30789.0
Teacher-Speech Pathologist,989100,127453,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,92402.63,92402.63,30256.0
Teacher-Speech Pathologist,989100,137740,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,94951.85,94951.85,30789.0
Teacher-Speech Pathologist,989100,289085,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,94951.85,94951.85,30789.0
Teacher-Speech Pathologist,989100,478811,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,94951.85,94951.85,32111.0
Teacher-Speech Pathologist,989100,482576,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,56236.19,56236.19,23493.0
Teacher-Speech Pathologist,989100,482577,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,65338.61,65338.61,25519.0
Teacher-Speech Pathologist,989100,510542,11672,ODLSS Instructional Supports: Diverse-Learner Supports,1.0,92921.54,92921.54,31659.0
Teacher-Speech Pathologist,989100,211401,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,92402.62,92402.62,31543.0
Teacher-Speech Pathologist,989100,211455,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,54161.41,54161.41,23031.0
Teacher-Speech Pathologist,989100,211499,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,88246.55,88246.55,30618.0
Teacher-Speech Pathologist,989100,211531,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,92402.62,92402.62,31543.0
Teacher-Speech Pathologist,989100,211629,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,94951.85,94951.85,32111.0
Teacher-Speech Pathologist,989100,211779,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,94951.85,94951.85,32111.0
Teacher-Speech Pathologist,989100,211815,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,93689.87,93689.87,31830.0
Teacher-Speech Pathologist,989100,212208,11673,ODLSS Instructional Supports: Specially-Designed Instruction,1.0,93146.18,93146.18,31709.0
Teacher-Speech Pathologist,989100,113138,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,55095.99,55095.99,23239.0
Teacher-Speech Pathologist,989100,113581,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,54161.41,54161.41,23031.0
Teacher-Speech Pathologist,989100,114307,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,54161.41,54161.41,23031.0
Teacher-Speech Pathologist,989100,116529,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,50652.96,50652.96,22250.0
Teacher-Speech Pathologist,989100,120040,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,54161.41,54161.41,23031.0
Teacher-Speech Pathologist,989100,121104,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,54161.41,54161.41,23031.0
Teacher-Speech Pathologist,989100,121363,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,50652.96,50652.96,22250.0
Teacher-Speech Pathologist,989100,122669,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,54161.41,54161.41,23031.0
Teacher-Speech Pathologist,989100,124627,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,72625.01,72625.01,27141.0
Teacher-Speech Pathologist,989100,126730,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,64225.99,64225.99,25431.0
Teacher-Speech Pathologist,989100,127572,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,50652.96,50652.96,22250.0
Teacher-Speech Pathologist,989100,211387,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,76134.59,76134.59,27922.0
Teacher-Speech Pathologist,989100,211389,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,90658.1,90658.1,31155.0
Teacher-Speech Pathologist,989100,211396,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,80665.0,80665.0,28930.0
Teacher-Speech Pathologist,989100,211398,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,79757.01,79757.01,28728.0
Teacher-Speech Pathologist,989100,211399,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,61498.87,61498.87,24664.0
Teacher-Speech Pathologist,989100,211402,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,78910.17,78910.17,28540.0
Teacher-Speech Pathologist,989100,211405,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,84658.31,84658.31,29819.0
Teacher-Speech Pathologist,989100,211406,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,54161.41,54161.41,23031.0
Teacher-Speech Pathologist,989100,211412,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,83265.55,83265.55,29509.0
Teacher-Speech Pathologist,989100,211414,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,85187.11,85187.11,29937.0
Teacher-Speech Pathologist,989100,211416,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,75403.6,75403.6,27759.0
Teacher-Speech Pathologist,989100,211417,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,89533.78,89533.78,30905.0
Teacher-Speech Pathologist,989100,211424,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,79757.5,79757.5,28728.0
Teacher-Speech Pathologist,989100,211430,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,75298.99,75298.99,27736.0
Teacher-Speech Pathologist,989100,211433,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,54161.41,54161.41,23031.0
Teacher-Speech Pathologist,989100,211434,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,89533.78,89533.78,30905.0
Teacher-Speech Pathologist,989100,211435,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,81510.94,81510.94,29119.0
Teacher-Speech Pathologist,989100,211436,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,54161.41,54161.41,23031.0
Teacher-Speech Pathologist,989100,211440,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,85394.53,85394.53,29983.0
Teacher-Speech Pathologist,989100,211441,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,56236.21,56236.21,23493.0
Teacher-Speech Pathologist,989100,211445,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,77157.09,77157.09,28150.0
Teacher-Speech Pathologist,989100,211454,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,92402.62,92402.62,31543.0
Teacher-Speech Pathologist,989100,211457,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88902.61,88902.61,30764.0
Teacher-Speech Pathologist,989100,211460,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,72625.42,72625.42,27141.0
Teacher-Speech Pathologist,989100,211464,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,87895.21,87895.21,30540.0
Teacher-Speech Pathologist,989100,211468,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,59246.85,59246.85,24163.0
Teacher-Speech Pathologist,989100,211469,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,54161.41,54161.41,23031.0
Teacher-Speech Pathologist,989100,211471,11675,Diverse Learner Supports & Services - Related Services Supports - City Wide,1.0,88246.55,88246.55,30618.0
