title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Technology Coordinator I,000691,525223,22061,Philip D Armour School,1.0,47298.42,47298.42,20212.0
Technology Coordinator I,000691,509477,22161,Perkins Bass School,1.0,55654.39,55654.39,21987.0
Technology Coordinator I,000691,505340,22171,Newton Bateman Elementary School,1.0,47298.42,47298.42,20212.0
Technology Coordinator I,000691,484445,22191,George Rogers Clark Elementary School,1.0,49672.32,49672.32,20716.0
Technology Coordinator I,000691,489406,22251,South Shore Fine Arts Academy,1.0,49672.32,49672.32,20716.0
Technology Coordinator I,000691,520424,22291,Myra Bradwell School of Excellence,1.0,52202.5,52202.5,21253.0
Technology Coordinator I,000691,503695,22301,Alex Haley School,1.0,61386.23,61386.23,23205.0
Technology Coordinator I,000691,519729,22421,Augustus H Burley Elementary School,1.0,57529.69,57529.69,22385.0
Technology Coordinator I,000691,525172,22441,Irene C. Hernandez Middle School for the Advancement of the Sciences,1.0,47298.42,47298.42,19805.0
Technology Coordinator I,000691,493433,22571,Charles Carroll School,1.0,49672.32,49672.32,20289.0
Technology Coordinator I,000691,507714,22821,John C Coonley School,1.0,49672.32,49672.32,20716.0
Technology Coordinator I,000691,484453,23001,John C Dore School,1.0,54786.16,54786.16,21802.0
Technology Coordinator I,000691,404170,23041,John F Eberhart School,1.0,64457.8,64457.8,23857.0
Technology Coordinator I,000691,473409,23441,John Gregory School,1.0,52202.5,52202.5,21253.0
Technology Coordinator I,000691,485581,23531,Charles G Hammond School,1.0,49672.32,49672.32,20289.0
Technology Coordinator I,000691,474845,23551,Sharon Christa Mcauliffe Elementary School,1.0,52202.5,52202.5,21253.0
Technology Coordinator I,000691,441832,23621,Stephen K Hayt School,1.0,52202.5,52202.5,21253.0
Technology Coordinator I,000691,456795,23681,James Hedges School Main,1.0,47298.42,47298.42,19805.0
Technology Coordinator I,000691,486559,24071,John H Kinzie Elementary School,1.0,54786.16,54786.16,21802.0
Technology Coordinator I,000691,506244,24151,Leslie Lewis School,1.0,47298.42,47298.42,20212.0
Technology Coordinator I,000691,424587,24221,Henry D Lloyd School,1.0,54786.16,54786.16,21802.0
Technology Coordinator I,000691,502306,24361,John L Marsh School,1.0,47298.42,47298.42,20212.0
Technology Coordinator I,000691,525415,24371,Michael Faraday Elementary School,1.0,47298.42,47298.42,20212.0
Technology Coordinator I,000691,451949,24431,Cyrus H Mccormick School,1.0,52202.5,52202.5,21253.0
Technology Coordinator I,000691,488495,24621,John B Murphy School,1.0,58490.58,58490.58,22589.0
