title,job_code,position_number,unit_number,unit_name,time_equivalent,salary,fte_salary,benefit_cost
Technology Coordinator III,000693,431822,22271,Daniel Boone School,1.0,66546.46,66546.46,24301.0
Technology Coordinator III,000693,520147,22351,William H Brown Elementary School,1.0,57529.69,57529.69,22187.0
Technology Coordinator III,000693,478292,22391,Lyman A Budlong School,1.0,63382.04,63382.04,23629.0
Technology Coordinator III,000693,525010,23731,Patrick Henry School,0.5,60376.37,30188.19,11495.0
Technology Coordinator III,000693,525205,25631,Enrico Tonti School,1.0,57529.69,57529.69,22385.0
Technology Coordinator III,000693,428266,25771,George Washington School,1.0,66546.46,66546.46,24301.0
Technology Coordinator III,000693,285406,25911,Richard Yates Elementary School,1.0,66546.46,66546.46,24244.0
Technology Coordinator III,000693,266726,31061,Ralph H Metcalfe Community Academy Elementary School,1.0,63382.04,63382.04,23629.0
Technology Coordinator III,000693,148500,46041,William J Bogan Computer Technical High School,1.0,74561.3,74561.3,26004.0
Technology Coordinator III,000693,525052,46151,Harper High School,0.5,82183.22,41091.61,13812.0
Technology Coordinator III,000693,525080,46171,Hyde Park Career Academy,1.0,57529.69,57529.69,22385.0
Technology Coordinator III,000693,263941,46201,John F Kennedy High School,1.0,78284.47,78284.47,26795.0
Technology Coordinator III,000693,525089,46211,Lake View High School,1.0,66546.46,66546.46,24301.0
Technology Coordinator III,000693,162853,46221,Albert G Lane Technical High School,1.0,63382.04,63382.04,23629.0
Technology Coordinator III,000693,289925,46251,Morgan Park High School,1.0,69868.89,69868.89,25007.0
Technology Coordinator III,000693,412669,46261,Wendell Phillips Academy,1.0,78284.47,78284.47,26795.0
Technology Coordinator III,000693,462953,46321,Lincoln Park High School,1.0,74561.3,74561.3,26004.0
Technology Coordinator III,000693,475241,46331,George Washington High School,1.0,74561.3,74561.3,26004.0
Technology Coordinator III,000693,525457,46641,Richard T. Crane (RTC) Medical Preparatory High School,0.5,82183.22,41091.61,13812.0
Technology Coordinator III,000693,473346,47051,Gwendolyn Brooks,1.0,86318.27,86318.27,28501.0
Technology Coordinator III,000693,511252,49121,Little Village Multiplex,1.0,66546.46,66546.46,24301.0
Technology Coordinator III,000693,525341,51091,Roberto Clemente Community Academy High School,1.0,63382.04,63382.04,23629.0
Technology Coordinator III,000693,158904,53101,Marie Sklodowska Curie Metropolitan High School,1.0,73349.45,73349.45,25746.0
Technology Coordinator III,000693,200801,53101,Marie Sklodowska Curie Metropolitan High School,1.0,69868.89,69868.89,24406.0
Technology Coordinator III,000693,413032,67021,Peace and Education Coalition High School,1.0,82183.22,82183.22,27623.0
